Node	Time	ActivationFactorDwnRegulation
3	1	0
4	1	0
5	1	1
6	1	0
7	1	1
8	1	1
9	1	1
10	1	1
11	1	1
12	1	1
13	1	0
14	1	1
15	1	1
16	1	0
17	1	0
18	1	0
19	1	0
20	1	1
21	1	1
22	1	1
23	1	1
24	1	0
25	1	1
3	2	1
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	1
10	2	1
11	2	0
12	2	1
13	2	0
14	2	0
15	2	1
16	2	1
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	1
24	2	1
25	2	0
3	3	0
4	3	1
5	3	0
6	3	0
7	3	0
8	3	1
9	3	0
10	3	1
11	3	0
12	3	0
13	3	0
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
24	3	0
25	3	0
3	4	1
4	4	1
5	4	1
6	4	0
7	4	1
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	1
15	4	0
16	4	1
17	4	0
18	4	1
19	4	1
20	4	1
21	4	0
22	4	0
23	4	1
24	4	0
25	4	0
3	5	1
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	1
10	5	0
11	5	0
12	5	1
13	5	0
14	5	1
15	5	0
16	5	0
17	5	1
18	5	0
19	5	1
20	5	0
21	5	0
22	5	0
23	5	1
24	5	0
25	5	0
3	6	0
4	6	1
5	6	1
6	6	1
7	6	1
8	6	0
9	6	0
10	6	1
11	6	1
12	6	0
13	6	0
14	6	1
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	1
23	6	1
24	6	1
25	6	0
3	7	1
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	1
10	7	0
11	7	1
12	7	1
13	7	0
14	7	0
15	7	0
16	7	0
17	7	1
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	1
24	7	0
25	7	1
3	8	0
4	8	0
5	8	1
6	8	1
7	8	0
8	8	1
9	8	0
10	8	0
11	8	1
12	8	1
13	8	1
14	8	0
15	8	1
16	8	0
17	8	0
18	8	0
19	8	1
20	8	1
21	8	1
22	8	0
23	8	1
24	8	0
25	8	1
3	9	1
4	9	0
5	9	0
6	9	0
7	9	1
8	9	1
9	9	0
10	9	0
11	9	1
12	9	1
13	9	0
14	9	1
15	9	1
16	9	0
17	9	1
18	9	1
19	9	0
20	9	0
21	9	0
22	9	0
23	9	1
24	9	0
25	9	1
3	10	0
4	10	1
5	10	0
6	10	1
7	10	0
8	10	1
9	10	0
10	10	0
11	10	1
12	10	0
13	10	0
14	10	1
15	10	0
16	10	0
17	10	1
18	10	0
19	10	0
20	10	1
21	10	1
22	10	1
23	10	1
24	10	1
25	10	0
3	11	0
4	11	1
5	11	0
6	11	0
7	11	1
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	1
14	11	0
15	11	1
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	1
22	11	0
23	11	0
24	11	1
25	11	0
3	12	0
4	12	1
5	12	0
6	12	0
7	12	0
8	12	1
9	12	0
10	12	1
11	12	1
12	12	1
13	12	1
14	12	0
15	12	0
16	12	0
17	12	1
18	12	0
19	12	0
20	12	1
21	12	1
22	12	1
23	12	0
24	12	1
25	12	1
3	13	1
4	13	1
5	13	1
6	13	1
7	13	0
8	13	1
9	13	0
10	13	0
11	13	1
12	13	1
13	13	1
14	13	1
15	13	0
16	13	1
17	13	0
18	13	0
19	13	1
20	13	1
21	13	1
22	13	0
23	13	0
24	13	0
25	13	0
3	14	0
4	14	0
5	14	0
6	14	1
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	1
14	14	0
15	14	0
16	14	1
17	14	1
18	14	0
19	14	1
20	14	0
21	14	0
22	14	1
23	14	0
24	14	0
25	14	0
3	15	1
4	15	0
5	15	1
6	15	1
7	15	1
8	15	0
9	15	0
10	15	1
11	15	0
12	15	0
13	15	0
14	15	1
15	15	0
16	15	0
17	15	0
18	15	0
19	15	1
20	15	0
21	15	1
22	15	1
23	15	1
24	15	0
25	15	1
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	1
10	16	1
11	16	1
12	16	1
13	16	0
14	16	0
15	16	1
16	16	0
17	16	0
18	16	0
19	16	1
20	16	0
21	16	1
22	16	1
23	16	0
24	16	0
25	16	1
3	17	1
4	17	1
5	17	0
6	17	0
7	17	1
8	17	0
9	17	1
10	17	1
11	17	1
12	17	0
13	17	0
14	17	0
15	17	1
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	1
23	17	0
24	17	1
25	17	0
3	18	0
4	18	1
5	18	0
6	18	1
7	18	1
8	18	0
9	18	0
10	18	0
11	18	0
12	18	0
13	18	1
14	18	1
15	18	0
16	18	0
17	18	0
18	18	0
19	18	1
20	18	0
21	18	0
22	18	0
23	18	1
24	18	0
25	18	1
3	19	1
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	0
18	19	0
19	19	0
20	19	0
21	19	0
22	19	0
23	19	1
24	19	1
25	19	1
3	20	0
4	20	0
5	20	0
6	20	0
7	20	1
8	20	1
9	20	0
10	20	1
11	20	0
12	20	1
13	20	1
14	20	1
15	20	0
16	20	0
17	20	0
18	20	0
19	20	1
20	20	0
21	20	0
22	20	0
23	20	0
24	20	0
25	20	0
3	21	0
4	21	0
5	21	1
6	21	1
7	21	0
8	21	0
9	21	0
10	21	1
11	21	1
12	21	1
13	21	1
14	21	0
15	21	0
16	21	0
17	21	1
18	21	1
19	21	1
20	21	0
21	21	0
22	21	0
23	21	1
24	21	0
25	21	0
3	22	0
4	22	1
5	22	0
6	22	0
7	22	0
8	22	0
9	22	1
10	22	0
11	22	1
12	22	0
13	22	0
14	22	1
15	22	0
16	22	0
17	22	0
18	22	0
19	22	1
20	22	0
21	22	0
22	22	0
23	22	0
24	22	0
25	22	0
3	23	0
4	23	0
5	23	1
6	23	1
7	23	1
8	23	1
9	23	0
10	23	1
11	23	1
12	23	0
13	23	1
14	23	1
15	23	0
16	23	1
17	23	0
18	23	0
19	23	1
20	23	0
21	23	0
22	23	1
23	23	1
24	23	1
25	23	1
3	24	0
4	24	0
5	24	1
6	24	0
7	24	0
8	24	0
9	24	0
10	24	0
11	24	1
12	24	0
13	24	0
14	24	1
15	24	0
16	24	1
17	24	0
18	24	1
19	24	0
20	24	0
21	24	0
22	24	0
23	24	0
24	24	0
25	24	0
26	1	0
27	1	0
28	1	0
29	1	1
30	1	0
31	1	0
32	1	0
33	1	1
34	1	1
35	1	1
36	1	0
37	1	1
38	1	0
39	1	1
40	1	1
41	1	0
42	1	1
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
26	2	0
27	2	0
28	2	0
29	2	0
30	2	1
31	2	1
32	2	0
33	2	1
34	2	1
35	2	1
36	2	1
37	2	0
38	2	1
39	2	0
40	2	0
41	2	0
42	2	1
43	2	0
44	2	0
45	2	0
46	2	1
47	2	1
48	2	0
26	3	0
27	3	1
28	3	1
29	3	0
30	3	0
31	3	0
32	3	0
33	3	1
34	3	0
35	3	0
36	3	1
37	3	0
38	3	0
39	3	1
40	3	1
41	3	0
42	3	0
43	3	0
44	3	0
45	3	1
46	3	1
47	3	1
48	3	0
26	4	1
27	4	0
28	4	1
29	4	0
30	4	1
31	4	0
32	4	0
33	4	0
34	4	1
35	4	1
36	4	0
37	4	0
38	4	0
39	4	0
40	4	1
41	4	0
42	4	0
43	4	0
44	4	0
45	4	0
46	4	1
47	4	1
48	4	1
26	5	0
27	5	0
28	5	0
29	5	1
30	5	1
31	5	0
32	5	1
33	5	0
34	5	0
35	5	0
36	5	0
37	5	1
38	5	0
39	5	1
40	5	0
41	5	0
42	5	0
43	5	1
44	5	0
45	5	1
46	5	1
47	5	0
48	5	0
26	6	0
27	6	1
28	6	0
29	6	1
30	6	0
31	6	0
32	6	1
33	6	0
34	6	0
35	6	1
36	6	0
37	6	1
38	6	1
39	6	0
40	6	0
41	6	0
42	6	0
43	6	0
44	6	0
45	6	1
46	6	1
47	6	0
48	6	1
26	7	0
27	7	0
28	7	1
29	7	1
30	7	0
31	7	0
32	7	0
33	7	1
34	7	0
35	7	0
36	7	1
37	7	1
38	7	0
39	7	0
40	7	1
41	7	1
42	7	0
43	7	0
44	7	1
45	7	0
46	7	1
47	7	0
48	7	0
26	8	0
27	8	0
28	8	0
29	8	1
30	8	0
31	8	0
32	8	1
33	8	0
34	8	0
35	8	1
36	8	0
37	8	1
38	8	0
39	8	0
40	8	0
41	8	1
42	8	0
43	8	1
44	8	0
45	8	1
46	8	0
47	8	0
48	8	1
26	9	1
27	9	0
28	9	1
29	9	0
30	9	0
31	9	0
32	9	1
33	9	0
34	9	1
35	9	1
36	9	1
37	9	0
38	9	0
39	9	1
40	9	0
41	9	0
42	9	0
43	9	1
44	9	0
45	9	1
46	9	0
47	9	1
48	9	0
26	10	0
27	10	1
28	10	0
29	10	0
30	10	0
31	10	0
32	10	1
33	10	1
34	10	0
35	10	1
36	10	1
37	10	0
38	10	0
39	10	1
40	10	1
41	10	0
42	10	1
43	10	0
44	10	0
45	10	0
46	10	1
47	10	1
48	10	1
26	11	1
27	11	1
28	11	1
29	11	0
30	11	0
31	11	0
32	11	1
33	11	0
34	11	1
35	11	0
36	11	0
37	11	0
38	11	0
39	11	0
40	11	1
41	11	1
42	11	0
43	11	0
44	11	0
45	11	0
46	11	0
47	11	1
48	11	0
26	12	1
27	12	1
28	12	1
29	12	0
30	12	0
31	12	0
32	12	0
33	12	0
34	12	0
35	12	0
36	12	0
37	12	1
38	12	0
39	12	1
40	12	0
41	12	1
42	12	0
43	12	1
44	12	0
45	12	0
46	12	1
47	12	0
48	12	0
26	13	0
27	13	0
