Node	Time	ActivationFactorUpRegulation
3	1	0
4	1	1
5	1	1
6	1	0
3	2	0
4	2	1
5	2	0
6	2	1
3	3	0
4	3	1
5	3	0
6	3	0
3	4	0
4	4	1
5	4	0
6	4	1
3	5	0
4	5	0
5	5	1
6	5	1
3	6	1
4	6	0
5	6	0
6	6	1
3	7	0
4	7	0
5	7	0
6	7	1
3	8	0
4	8	0
5	8	1
6	8	0
3	9	1
4	9	1
5	9	0
6	9	0
3	10	0
4	10	0
5	10	1
6	10	1
3	11	1
4	11	0
5	11	0
6	11	1
3	12	1
4	12	1
5	12	0
6	12	0
3	13	0
4	13	0
5	13	1
6	13	0
3	14	1
4	14	1
5	14	0
6	14	0
3	15	0
4	15	0
5	15	1
6	15	1
3	16	0
4	16	1
5	16	1
6	16	0
3	17	0
4	17	1
5	17	0
6	17	1
3	18	0
4	18	0
5	18	0
6	18	1
3	19	0
4	19	1
5	19	0
6	19	0
3	20	0
4	20	1
5	20	0
6	20	0
3	21	0
4	21	0
5	21	1
6	21	0
3	22	0
4	22	1
5	22	0
6	22	0
3	23	1
4	23	0
5	23	0
6	23	1
3	24	1
4	24	0
5	24	0
6	24	0
7	1	0
8	1	0
9	1	1
10	1	1
7	2	0
8	2	0
9	2	0
10	2	1
7	3	0
8	3	0
9	3	1
10	3	0
7	4	0
8	4	1
9	4	0
10	4	1
7	5	0
8	5	1
9	5	0
10	5	1
7	6	1
8	6	0
9	6	0
10	6	1
7	7	1
8	7	0
9	7	0
10	7	1
7	8	1
8	8	0
9	8	1
10	8	0
7	9	0
8	9	0
9	9	1
10	9	0
7	10	1
8	10	0
9	10	0
10	10	0
7	11	0
8	11	1
9	11	1
10	11	0
7	12	0
8	12	1
9	12	0
10	12	1
7	13	1
8	13	0
9	13	0
10	13	0
7	14	1
8	14	1
9	14	0
10	14	0
7	15	1
8	15	0
9	15	0
10	15	0
7	16	0
8	16	1
9	16	1
10	16	0
7	17	0
8	17	0
9	17	1
10	17	0
7	18	0
8	18	1
9	18	0
10	18	0
7	19	0
8	19	0
9	19	1
10	19	0
7	20	0
8	20	0
9	20	0
10	20	1
7	21	0
8	21	1
9	21	1
10	21	0
7	22	0
8	22	0
9	22	1
10	22	1
7	23	1
8	23	0
9	23	1
10	23	0
7	24	0
8	24	1
9	24	0
10	24	0
11	1	1
12	1	1
13	1	0
14	1	0
11	2	0
12	2	0
13	2	1
14	2	0
11	3	0
12	3	0
13	3	0
14	3	1
11	4	0
12	4	0
13	4	0
14	4	1
11	5	1
12	5	0
13	5	1
14	5	0
11	6	0
12	6	1
13	6	0
14	6	0
11	7	1
12	7	1
13	7	0
14	7	0
11	8	0
12	8	0
13	8	1
14	8	1
11	9	1
12	9	0
13	9	0
14	9	1
11	10	0
12	10	0
13	10	0
14	10	1
11	11	1
12	11	0
13	11	0
14	11	0
11	12	1
12	12	0
13	12	0
14	12	1
11	13	0
12	13	0
13	13	1
14	13	0
11	14	0
12	14	0
13	14	0
14	14	1
11	15	1
12	15	0
13	15	0
14	15	1
11	16	0
12	16	1
13	16	1
14	16	0
11	17	1
12	17	1
13	17	0
14	17	0
11	18	0
12	18	0
13	18	1
14	18	0
11	19	0
12	19	1
13	19	1
14	19	0
11	20	1
12	20	0
13	20	0
14	20	0
11	21	1
12	21	0
13	21	0
14	21	1
11	22	0
12	22	0
13	22	1
14	22	0
11	23	0
12	23	1
13	23	0
14	23	0
11	24	0
12	24	1
13	24	1
14	24	0
15	1	0
16	1	0
17	1	1
18	1	0
15	2	0
16	2	0
17	2	1
18	2	1
15	3	0
16	3	1
17	3	1
18	3	0
15	4	1
16	4	1
17	4	0
18	4	0
15	5	0
16	5	0
17	5	0
18	5	1
15	6	1
16	6	0
17	6	0
18	6	1
15	7	1
16	7	0
17	7	0
18	7	0
15	8	1
16	8	0
17	8	0
18	8	1
15	9	0
16	9	1
17	9	0
18	9	1
15	10	0
16	10	1
17	10	0
18	10	0
15	11	0
16	11	0
17	11	0
18	11	1
15	12	0
16	12	0
17	12	0
18	12	1
15	13	1
16	13	1
17	13	0
18	13	0
15	14	0
16	14	1
17	14	0
18	14	1
15	15	0
16	15	1
17	15	1
18	15	0
15	16	1
16	16	0
17	16	0
18	16	0
15	17	0
16	17	1
17	17	0
18	17	0
15	18	0
16	18	1
17	18	0
18	18	0
15	19	0
16	19	0
17	19	1
18	19	0
15	20	1
16	20	1
17	20	0
18	20	0
15	21	0
16	21	1
17	21	0
18	21	0
15	22	0
16	22	0
17	22	1
18	22	0
15	23	0
16	23	1
17	23	0
18	23	1
15	24	1
16	24	1
17	24	0
18	24	0
19	1	0
20	1	1
21	1	1
22	1	0
19	2	1
20	2	0
21	2	1
22	2	0
19	3	1
20	3	0
21	3	1
22	3	0
19	4	1
20	4	1
21	4	0
22	4	0
19	5	0
20	5	0
21	5	0
22	5	1
19	6	1
20	6	0
21	6	1
22	6	0
19	7	0
20	7	1
21	7	0
22	7	1
19	8	1
20	8	0
21	8	1
22	8	0
19	9	1
20	9	0
21	9	0
22	9	0
19	10	0
20	10	1
21	10	0
22	10	1
19	11	1
20	11	1
21	11	0
22	11	0
19	12	0
20	12	0
21	12	0
22	12	1
19	13	0
20	13	0
21	13	0
22	13	1
19	14	1
20	14	0
21	14	0
22	14	0
19	15	0
20	15	0
21	15	0
22	15	1
19	16	1
20	16	1
21	16	0
22	16	0
19	17	1
20	17	0
21	17	1
22	17	0
19	18	1
20	18	1
21	18	0
22	18	0
19	19	1
20	19	0
21	19	1
22	19	0
19	20	1
20	20	0
21	20	0
22	20	1
19	21	1
20	21	1
21	21	0
22	21	0
19	22	1
20	22	0
21	22	1
22	22	0
19	23	0
20	23	0
21	23	0
22	23	1
19	24	0
20	24	0
21	24	1
22	24	0
23	1	0
24	1	0
25	1	1
26	1	1
23	2	0
24	2	0
25	2	0
26	2	1
23	3	0
24	3	0
25	3	0
26	3	1
23	4	0
24	4	1
25	4	0
26	4	1
23	5	0
