Node	Time	ID_Capacity_Sell_Volume
1	1	5.3
1	2	6.9
1	3	5.4
1	4	11.2
1	5	7.9
1	6	2.0
1	7	5.1
1	8	10.8
1	9	3.9
1	10	5.6
1	11	1.4
1	12	5.9
1	13	3.0
1	14	135.6
1	15	24.3
1	16	22.7
1	17	68.1
1	18	36.8
1	19	97.5
1	20	8.5
1	21	0.3
1	22	2.1
1	23	8.7
1	24	45.2
2	1	10.0
2	2	19.0
2	3	2.1
2	4	0.1
2	5	5.7
2	6	18.9
2	7	43.2
2	8	69.3
2	9	70.1
2	10	77.0
2	11	20.5
2	12	37.3
2	13	7.6
2	14	19.1
2	15	137.4
2	16	42.0
2	17	12.8
2	18	20.5
2	19	32.8
2	20	19.9
2	21	13.4
2	22	62.7
2	23	74.6
2	24	73.8
3	1	3.0
3	2	25.1
3	3	39.3
3	4	21.7
3	5	39.2
3	6	48.6
3	7	33.1
3	8	6.5
3	9	0.3
3	10	0.1
3	11	26.5
3	12	68.9
3	13	22.5
3	14	0.0
3	15	11.1
3	16	3.6
3	17	127.4
3	18	55.5
3	19	1.1
3	20	0.0
3	21	0.0
3	22	0.0
3	23	19.0
3	24	12.5
4	1	3.0
4	2	25.1
4	3	39.3
4	4	21.7
4	5	39.2
4	6	48.6
4	7	33.1
4	8	6.5
4	9	0.3
4	10	0.1
4	11	26.5
4	12	68.9
4	13	22.5
4	14	0.0
4	15	11.1
4	16	3.6
4	17	127.4
4	18	55.5
4	19	1.1
4	20	0.0
4	21	0.0
4	22	0.0
4	23	19.0
4	24	12.5
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	0.0
5	6	0.0
5	7	0.0
5	8	0.0
5	9	0.0
5	10	0.1
5	11	16.9
5	12	20.6
5	13	1.7
5	14	5.0
5	15	2.1
5	16	10.6
5	17	55.2
5	18	20.8
5	19	30.8
5	20	26.0
5	21	21.0
5	22	38.3
5	23	122.9
5	24	110.5
6	1	8.8
6	2	10.9
6	3	24.1
6	4	33.0
6	5	11.6
6	6	22.3
6	7	6.6
6	8	0.0
6	9	32.3
6	10	114.6
6	11	34.8
6	12	28.9
6	13	0.5
6	14	15.8
6	15	3.2
6	16	34.0
6	17	78.7
6	18	5.2
6	19	5.8
6	20	7.0
6	21	5.4
6	22	9.2
6	23	11.4
6	24	22.6
7	1	6.0
7	2	2.2
7	3	0.0
7	4	0.0
7	5	0.0
7	6	0.0
7	7	3.9
7	8	32.2
7	9	40.3
7	10	42.3
7	11	258.6
7	12	38.0
7	13	47.5
7	14	17.2
7	15	36.9
7	16	310.8
7	17	48.3
7	18	28.8
7	19	19.5
7	20	82.2
7	21	56.5
7	22	57.0
7	23	21.9
7	24	66.9
8	1	5.3
8	2	6.9
8	3	5.4
8	4	11.2
8	5	7.9
8	6	2.0
8	7	5.1
8	8	10.8
8	9	3.9
8	10	5.6
8	11	1.4
8	12	5.9
8	13	3.0
8	14	135.6
8	15	24.3
8	16	22.7
8	17	68.1
8	18	36.8
8	19	97.5
8	20	8.5
8	21	0.3
8	22	2.1
8	23	8.7
8	24	45.2
9	1	5.3
9	2	6.9
9	3	5.4
9	4	11.2
9	5	7.9
9	6	2.0
9	7	5.1
9	8	10.8
9	9	3.9
9	10	5.6
9	11	1.4
9	12	5.9
9	13	3.0
9	14	135.6
9	15	24.3
9	16	22.7
9	17	68.1
9	18	36.8
9	19	97.5
9	20	8.5
9	21	0.3
9	22	2.1
9	23	8.7
9	24	45.2
10	1	5.3
10	2	6.9
10	3	5.4
10	4	11.2
10	5	7.9
10	6	2.0
10	7	5.1
10	8	10.8
10	9	3.9
10	10	5.6
10	11	1.4
10	12	5.9
10	13	3.0
10	14	135.6
10	15	24.3
10	16	22.7
10	17	68.1
10	18	36.8
10	19	97.5
10	20	8.5
10	21	0.3
10	22	2.1
10	23	8.7
10	24	45.2
11	1	10.0
11	2	19.0
11	3	2.1
11	4	0.1
11	5	5.7
11	6	18.9
11	7	43.2
11	8	69.3
11	9	70.1
11	10	77.0
11	11	20.5
11	12	37.3
11	13	7.6
11	14	19.1
11	15	137.4
11	16	42.0
11	17	12.8
11	18	20.5
11	19	32.8
11	20	19.9
11	21	13.4
11	22	62.7
11	23	74.6
11	24	73.8
12	1	6.0
12	2	2.2
12	3	0.0
12	4	0.0
12	5	0.0
12	6	0.0
12	7	3.9
12	8	32.2
12	9	40.3
12	10	42.3
12	11	258.6
12	12	38.0
12	13	47.5
12	14	17.2
12	15	36.9
12	16	310.8
12	17	48.3
12	18	28.8
12	19	19.5
12	20	82.2
12	21	56.5
12	22	57.0
12	23	21.9
12	24	66.9
13	1	5.3
13	2	6.9
13	3	5.4
13	4	11.2
13	5	7.9
13	6	2.0
13	7	5.1
13	8	10.8
13	9	3.9
13	10	5.6
13	11	1.4
13	12	5.9
13	13	3.0
13	14	135.6
13	15	24.3
13	16	22.7
13	17	68.1
13	18	36.8
13	19	97.5
13	20	8.5
13	21	0.3
13	22	2.1
13	23	8.7
13	24	45.2
14	1	8.8
14	2	10.9
14	3	24.1
14	4	33.0
14	5	11.6
14	6	22.3
14	7	6.6
14	8	0.0
14	9	32.3
14	10	114.6
14	11	34.8
14	12	28.9
14	13	0.5
14	14	15.8
14	15	3.2
14	16	34.0
14	17	78.7
14	18	5.2
14	19	5.8
14	20	7.0
14	21	5.4
14	22	9.2
14	23	11.4
14	24	22.6
15	1	8.8
15	2	10.9
15	3	24.1
15	4	33.0
15	5	11.6
15	6	22.3
15	7	6.6
15	8	0.0
15	9	32.3
15	10	114.6
15	11	34.8
15	12	28.9
15	13	0.5
15	14	15.8
15	15	3.2
15	16	34.0
15	17	78.7
15	18	5.2
15	19	5.8
15	20	7.0
15	21	5.4
15	22	9.2
15	23	11.4
15	24	22.6
16	1	5.3
16	2	6.9
16	3	5.4
16	4	11.2
16	5	7.9
16	6	2.0
16	7	5.1
16	8	10.8
16	9	3.9
16	10	5.6
16	11	1.4
16	12	5.9
16	13	3.0
16	14	135.6
16	15	24.3
16	16	22.7
16	17	68.1
16	18	36.8
16	19	97.5
16	20	8.5
16	21	0.3
16	22	2.1
16	23	8.7
16	24	45.2
17	1	5.3
17	2	6.9
17	3	5.4
17	4	11.2
17	5	7.9
17	6	2.0
17	7	5.1
17	8	10.8
17	9	3.9
17	10	5.6
17	11	1.4
17	12	5.9
17	13	3.0
17	14	135.6
17	15	24.3
17	16	22.7
17	17	68.1
17	18	36.8
17	19	97.5
17	20	8.5
17	21	0.3
17	22	2.1
17	23	8.7
17	24	45.2
18	1	5.3
18	2	6.9
18	3	5.4
18	4	11.2
18	5	7.9
18	6	2.0
18	7	5.1
18	8	10.8
18	9	3.9
18	10	5.6
18	11	1.4
18	12	5.9
18	13	3.0
18	14	135.6
18	15	24.3
18	16	22.7
18	17	68.1
18	18	36.8
18	19	97.5
18	20	8.5
18	21	0.3
18	22	2.1
18	23	8.7
18	24	45.2
19	1	3.0
19	2	25.1
19	3	39.3
19	4	21.7
19	5	39.2
19	6	48.6
19	7	33.1
19	8	6.5
19	9	0.3
19	10	0.1
19	11	26.5
19	12	68.9
19	13	22.5
19	14	0.0
19	15	11.1
19	16	3.6
19	17	127.4
19	18	55.5
19	19	1.1
19	20	0.0
19	21	0.0
19	22	0.0
19	23	19.0
19	24	12.5
20	1	3.0
20	2	25.1
20	3	39.3
20	4	21.7
20	5	39.2
20	6	48.6
20	7	33.1
20	8	6.5
20	9	0.3
20	10	0.1
20	11	26.5
20	12	68.9
20	13	22.5
20	14	0.0
20	15	11.1
20	16	3.6
20	17	127.4
20	18	55.5
20	19	1.1
20	20	0.0
20	21	0.0
20	22	0.0
20	23	19.0
20	24	12.5
21	1	8.8
21	2	10.9
21	3	24.1
21	4	33.0
21	5	11.6
21	6	22.3
21	7	6.6
21	8	0.0
21	9	32.3
21	10	114.6
21	11	34.8
21	12	28.9
21	13	0.5
21	14	15.8
21	15	3.2
21	16	34.0
21	17	78.7
21	18	5.2
21	19	5.8
21	20	7.0
21	21	5.4
21	22	9.2
21	23	11.4
21	24	22.6
22	1	5.3
22	2	6.9
22	3	5.4
22	4	11.2
22	5	7.9
22	6	2.0
22	7	5.1
22	8	10.8
22	9	3.9
22	10	5.6
22	11	1.4
22	12	5.9
22	13	3.0
22	14	135.6
22	15	24.3
22	16	22.7
22	17	68.1
22	18	36.8
22	19	97.5
22	20	8.5
22	21	0.3
22	22	2.1
22	23	8.7
22	24	45.2
23	1	3.0
23	2	25.1
23	3	39.3
23	4	21.7
23	5	39.2
23	6	48.6
23	7	33.1
23	8	6.5
23	9	0.3
23	10	0.1
23	11	26.5
23	12	68.9
23	13	22.5
23	14	0.0
23	15	11.1
23	16	3.6
23	17	127.4
23	18	55.5
23	19	1.1
23	20	0.0
23	21	0.0
23	22	0.0
23	23	19.0
23	24	12.5
24	1	6.0
24	2	2.2
24	3	0.0
24	4	0.0
24	5	0.0
24	6	0.0
24	7	3.9
24	8	32.2
24	9	40.3
24	10	42.3
24	11	258.6
24	12	38.0
24	13	47.5
24	14	17.2
24	15	36.9
24	16	310.8
24	17	48.3
24	18	28.8
24	19	19.5
24	20	82.2
24	21	56.5
24	22	57.0
24	23	21.9
24	24	66.9
25	1	13.4
25	2	0.0
25	3	2.0
25	4	3.1
25	5	1.0
25	6	49.2
25	7	1.6
25	8	12.7
25	9	16.6
25	10	45.1
25	11	8.2
25	12	1.9
25	13	117.0
25	14	25.0
25	15	76.8
25	16	57.7
25	17	39.9
25	18	74.4
25	19	21.6
25	20	10.9
25	21	18.7
25	22	71.4
25	23	61.5
25	24	85.4
26	1	6.0
26	2	2.2
26	3	0.0
26	4	0.0
26	5	0.0
26	6	0.0
26	7	3.9
26	8	32.2
26	9	40.3
26	10	42.3
26	11	258.6
26	12	38.0
26	13	47.5
26	14	17.2
26	15	36.9
26	16	310.8
26	17	48.3
26	18	28.8
26	19	19.5
26	20	82.2
26	21	56.5
26	22	57.0
26	23	21.9
26	24	66.9
27	1	10.0
27	2	19.0
27	3	2.1
27	4	0.1
27	5	5.7
27	6	18.9
27	7	43.2
27	8	69.3
27	9	70.1
27	10	77.0
27	11	20.5
27	12	37.3
27	13	7.6
27	14	19.1
27	15	137.4
27	16	42.0
27	17	12.8
27	18	20.5
27	19	32.8
27	20	19.9
27	21	13.4
27	22	62.7
27	23	74.6
27	24	73.8
28	1	8.8
28	2	10.9
28	3	24.1
28	4	33.0
28	5	11.6
28	6	22.3
28	7	6.6
28	8	0.0
28	9	32.3
28	10	114.6
28	11	34.8
28	12	28.9
28	13	0.5
28	14	15.8
28	15	3.2
28	16	34.0
28	17	78.7
28	18	5.2
28	19	5.8
28	20	7.0
28	21	5.4
28	22	9.2
28	23	11.4
28	24	22.6
29	1	3.0
29	2	25.1
29	3	39.3
29	4	21.7
29	5	39.2
29	6	48.6
29	7	33.1
29	8	6.5
29	9	0.3
29	10	0.1
29	11	26.5
29	12	68.9
29	13	22.5
29	14	0.0
29	15	11.1
29	16	3.6
29	17	127.4
29	18	55.5
29	19	1.1
29	20	0.0
29	21	0.0
29	22	0.0
29	23	19.0
29	24	12.5
30	1	6.0
30	2	2.2
30	3	0.0
30	4	0.0
30	5	0.0
30	6	0.0
30	7	3.9
30	8	32.2
30	9	40.3
30	10	42.3
30	11	258.6
30	12	38.0
30	13	47.5
30	14	17.2
30	15	36.9
30	16	310.8
30	17	48.3
30	18	28.8
30	19	19.5
30	20	82.2
30	21	56.5
30	22	57.0
30	23	21.9
30	24	66.9
31	1	8.8
31	2	10.9
31	3	24.1
31	4	33.0
31	5	11.6
31	6	22.3
31	7	6.6
31	8	0.0
31	9	32.3
31	10	114.6
31	11	34.8
31	12	28.9
31	13	0.5
31	14	15.8
31	15	3.2
31	16	34.0
31	17	78.7
31	18	5.2
31	19	5.8
31	20	7.0
31	21	5.4
31	22	9.2
31	23	11.4
31	24	22.6
32	1	8.8
32	2	10.9
32	3	24.1
32	4	33.0
32	5	11.6
32	6	22.3
32	7	6.6
32	8	0.0
32	9	32.3
32	10	114.6
32	11	34.8
32	12	28.9
32	13	0.5
32	14	15.8
32	15	3.2
32	16	34.0
32	17	78.7
32	18	5.2
32	19	5.8
32	20	7.0
32	21	5.4
32	22	9.2
32	23	11.4
32	24	22.6
33	1	5.3
33	2	6.9
33	3	5.4
33	4	11.2
33	5	7.9
33	6	2.0
33	7	5.1
33	8	10.8
33	9	3.9
33	10	5.6
33	11	1.4
33	12	5.9
33	13	3.0
33	14	135.6
33	15	24.3
33	16	22.7
33	17	68.1
33	18	36.8
33	19	97.5
33	20	8.5
33	21	0.3
33	22	2.1
33	23	8.7
33	24	45.2
34	1	0.0
34	2	0.0
34	3	0.0
34	4	0.0
34	5	0.0
34	6	0.0
34	7	0.0
34	8	0.0
34	9	0.0
34	10	0.1
34	11	16.9
34	12	20.6
34	13	1.7
34	14	5.0
34	15	2.1
34	16	10.6
34	17	55.2
34	18	20.8
34	19	30.8
34	20	26.0
34	21	21.0
34	22	38.3
34	23	122.9
34	24	110.5
35	1	3.0
35	2	25.1
35	3	39.3
35	4	21.7
35	5	39.2
35	6	48.6
35	7	33.1
35	8	6.5
35	9	0.3
35	10	0.1
35	11	26.5
35	12	68.9
35	13	22.5
35	14	0.0
35	15	11.1
35	16	3.6
35	17	127.4
35	18	55.5
35	19	1.1
35	20	0.0
35	21	0.0
35	22	0.0
35	23	19.0
35	24	12.5
36	1	3.0
36	2	25.1
36	3	39.3
36	4	21.7
36	5	39.2
36	6	48.6
36	7	33.1
36	8	6.5
36	9	0.3
36	10	0.1
36	11	26.5
36	12	68.9
36	13	22.5
36	14	0.0
36	15	11.1
36	16	3.6
36	17	127.4
36	18	55.5
36	19	1.1
36	20	0.0
36	21	0.0
36	22	0.0
36	23	19.0
36	24	12.5
37	1	8.8
37	2	10.9
37	3	24.1
37	4	33.0
37	5	11.6
37	6	22.3
37	7	6.6
37	8	0.0
37	9	32.3
37	10	114.6
37	11	34.8
37	12	28.9
37	13	0.5
37	14	15.8
37	15	3.2
37	16	34.0
37	17	78.7
37	18	5.2
37	19	5.8
37	20	7.0
37	21	5.4
37	22	9.2
37	23	11.4
37	24	22.6
38	1	13.4
38	2	0.0
38	3	2.0
38	4	3.1
38	5	1.0
38	6	49.2
38	7	1.6
38	8	12.7
38	9	16.6
38	10	45.1
38	11	8.2
38	12	1.9
38	13	117.0
38	14	25.0
38	15	76.8
38	16	57.7
38	17	39.9
38	18	74.4
38	19	21.6
38	20	10.9
38	21	18.7
38	22	71.4
38	23	61.5
38	24	85.4
39	1	6.0
39	2	2.2
39	3	0.0
39	4	0.0
39	5	0.0
39	6	0.0
39	7	3.9
39	8	32.2
39	9	40.3
39	10	42.3
39	11	258.6
39	12	38.0
39	13	47.5
39	14	17.2
39	15	36.9
39	16	310.8
39	17	48.3
39	18	28.8
39	19	19.5
39	20	82.2
39	21	56.5
39	22	57.0
39	23	21.9
39	24	66.9
