Node	Time	Res_CapacityDownVolume
1	1	405.0
1	2	405.0
1	3	405.0
1	4	405.0
1	5	405.0
1	6	400.0
1	7	250.0
1	8	250.0
1	9	250.0
1	10	250.0
1	11	325.0
1	12	405.0
1	13	405.0
1	14	405.0
1	15	405.0
1	16	250.0
1	17	200.0
1	18	200.0
1	19	300.0
1	20	300.0
1	21	300.0
1	22	300.0
1	23	350.0
1	24	265.0
2	1	0.0
2	2	0.0
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	31.0
2	8	31.0
2	9	31.0
2	10	31.0
2	11	31.0
2	12	31.0
2	13	31.0
2	14	31.0
2	15	31.0
2	16	31.0
2	17	31.0
2	18	31.0
2	19	31.0
2	20	0.0
2	21	0.0
2	22	0.0
2	23	0.0
2	24	0.0
3	1	343.0
3	2	343.0
3	3	343.0
3	4	343.0
3	5	303.0
3	6	273.0
3	7	200.0
3	8	200.0
3	9	200.0
3	10	150.0
3	11	300.0
3	12	273.0
3	13	343.0
3	14	343.0
3	15	343.0
3	16	200.0
3	17	110.0
3	18	110.0
3	19	250.0
3	20	200.0
3	21	200.0
3	22	250.0
3	23	207.0
3	24	348.0
4	1	450.0
4	2	450.0
4	3	450.0
4	4	442.0
4	5	450.0
4	6	400.0
4	7	250.0
4	8	250.0
4	9	250.0
4	10	250.0
4	11	300.0
4	12	499.0
4	13	545.0
4	14	622.0
4	15	482.0
4	16	200.0
4	17	200.0
4	18	200.0
4	19	300.0
4	20	300.0
4	21	300.0
4	22	300.0
4	23	350.0
4	24	447.0
5	1	301.0
5	2	301.0
5	3	301.0
5	4	301.0
5	5	301.0
5	6	247.0
5	7	250.0
5	8	250.0
5	9	250.0
5	10	250.0
5	11	300.0
5	12	351.0
5	13	351.0
5	14	351.0
5	15	301.0
5	16	200.0
5	17	200.0
5	18	200.0
5	19	217.0
5	20	217.0
5	21	217.0
5	22	247.0
5	23	247.0
5	24	244.0
6	1	450.0
6	2	450.0
6	3	450.0
6	4	445.0
6	5	440.0
6	6	393.0
6	7	250.0
6	8	250.0
6	9	250.0
6	10	250.0
6	11	350.0
6	12	354.0
6	13	402.0
6	14	469.0
6	15	400.0
6	16	200.0
6	17	200.0
6	18	200.0
6	19	300.0
6	20	300.0
6	21	300.0
6	22	300.0
6	23	350.0
6	24	359.0
7	1	330.0
7	2	330.0
7	3	330.0
7	4	330.0
7	5	330.0
7	6	119.0
7	7	86.0
7	8	0.0
7	9	0.0
7	10	0.0
7	11	0.0
7	12	86.0
7	13	70.0
7	14	173.0
7	15	150.0
7	16	150.0
7	17	150.0
7	18	150.0
7	19	173.0
7	20	173.0
7	21	70.0
7	22	120.0
7	23	173.0
7	24	365.0
8	1	208.0
8	2	208.0
8	3	208.0
8	4	208.0
8	5	208.0
8	6	208.0
8	7	208.0
8	8	208.0
8	9	208.0
8	10	200.0
8	11	200.0
8	12	200.0
8	13	200.0
8	14	200.0
8	15	150.0
8	16	150.0
8	17	150.0
8	18	150.0
8	19	200.0
8	20	200.0
8	21	200.0
8	22	208.0
8	23	208.0
8	24	369.0
9	1	365.0
9	2	365.0
9	3	365.0
9	4	365.0
9	5	365.0
9	6	365.0
9	7	365.0
9	8	253.0
9	9	253.0
9	10	250.0
9	11	253.0
9	12	253.0
9	13	253.0
9	14	253.0
9	15	253.0
9	16	170.0
9	17	192.0
9	18	170.0
9	19	210.0
9	20	210.0
9	21	210.0
9	22	210.0
9	23	210.0
9	24	355.0
10	1	50.0
10	2	50.0
10	3	50.0
10	4	50.0
10	5	50.0
10	6	79.0
10	7	50.0
10	8	50.0
10	9	79.0
10	10	50.0
10	11	79.0
10	12	79.0
10	13	53.0
10	14	50.0
10	15	50.0
10	16	50.0
10	17	79.0
10	18	79.0
10	19	50.0
10	20	50.0
10	21	50.0
10	22	50.0
10	23	50.0
10	24	50.0
11	1	307.0
11	2	307.0
11	3	307.0
11	4	307.0
11	5	307.0
11	6	307.0
11	7	250.0
11	8	250.0
11	9	250.0
11	10	250.0
11	11	307.0
11	12	307.0
11	13	307.0
11	14	307.0
11	15	307.0
11	16	250.0
11	17	200.0
11	18	200.0
11	19	300.0
11	20	300.0
11	21	300.0
