Node	Time	Res_CapacityUpVolume
1	1	60.0
1	2	100.0
1	3	100.0
1	4	100.0
1	5	116.0
1	6	116.0
1	7	115.0
1	8	116.0
1	9	116.0
1	10	116.0
1	11	115.0
1	12	116.0
1	13	100.0
1	14	100.0
1	15	95.0
1	16	60.0
1	17	116.0
1	18	116.0
1	19	115.0
1	20	116.0
1	21	116.0
1	22	116.0
1	23	115.0
1	24	116.0
2	1	60.0
2	2	60.0
2	3	60.0
2	4	60.0
2	5	60.0
2	6	60.0
2	7	60.0
2	8	105.0
2	9	25.0
2	10	25.0
2	11	65.0
2	12	60.0
2	13	60.0
2	14	60.0
2	15	60.0
2	16	60.0
2	17	65.0
2	18	25.0
2	19	25.0
2	20	25.0
2	21	15.0
2	22	10.0
2	23	0.0
2	24	0.0
3	1	15.0
3	2	15.0
3	3	15.0
3	4	15.0
3	5	40.0
3	6	40.0
3	7	104.0
3	8	104.0
3	9	104.0
3	10	104.0
3	11	40.0
3	12	40.0
3	13	40.0
3	14	15.0
3	15	0.0
3	16	0.0
3	17	15.0
3	18	104.0
3	19	102.0
3	20	102.0
3	21	72.0
3	22	40.0
3	23	40.0
3	24	0.0
4	1	115.0
4	2	115.0
4	3	115.0
4	4	115.0
4	5	140.0
4	6	140.0
4	7	140.0
4	8	140.0
4	9	140.0
4	10	140.0
4	11	140.0
4	12	140.0
4	13	115.0
4	14	115.0
4	15	115.0
4	16	115.0
4	17	140.0
4	18	140.0
4	19	140.0
4	20	140.0
4	21	140.0
4	22	140.0
4	23	140.0
4	24	80.0
5	1	115.0
5	2	115.0
5	3	115.0
5	4	115.0
5	5	140.0
5	6	140.0
5	7	140.0
5	8	152.0
5	9	140.0
5	10	140.0
5	11	140.0
5	12	140.0
5	13	115.0
5	14	115.0
5	15	115.0
5	16	115.0
5	17	140.0
5	18	140.0
5	19	152.0
5	20	152.0
5	21	140.0
5	22	140.0
5	23	140.0
5	24	25.0
6	1	20.0
6	2	20.0
6	3	20.0
6	4	20.0
6	5	62.0
6	6	99.0
6	7	99.0
6	8	99.0
6	9	96.0
6	10	99.0
6	11	74.0
6	12	45.0
6	13	20.0
6	14	0.0
6	15	16.0
6	16	13.0
6	17	89.0
6	18	99.0
6	19	99.0
6	20	99.0
6	21	99.0
6	22	99.0
6	23	90.0
6	24	79.0
7	1	130.0
7	2	130.0
7	3	130.0
7	4	130.0
7	5	145.0
7	6	150.0
7	7	150.0
7	8	150.0
7	9	150.0
7	10	145.0
7	11	145.0
7	12	130.0
7	13	130.0
7	14	130.0
7	15	135.0
7	16	145.0
7	17	150.0
7	18	142.0
7	19	150.0
7	20	150.0
7	21	150.0
7	22	85.0
7	23	85.0
7	24	70.0
8	1	70.0
8	2	70.0
8	3	70.0
8	4	70.0
8	5	95.0
8	6	95.0
8	7	95.0
8	8	95.0
8	9	95.0
8	10	95.0
8	11	95.0
8	12	70.0
8	13	70.0
8	14	70.0
8	15	70.0
8	16	95.0
8	17	95.0
8	18	95.0
8	19	106.0
8	20	106.0
8	21	95.0
8	22	95.0
8	23	95.0
8	24	95.0
9	1	60.0
9	2	60.0
9	3	60.0
9	4	60.0
9	5	116.0
9	6	116.0
9	7	115.0
9	8	116.0
9	9	116.0
9	10	116.0
9	11	115.0
9	12	76.0
9	13	60.0
9	14	60.0
9	15	60.0
9	16	60.0
9	17	116.0
9	18	116.0
9	19	115.0
9	20	116.0
9	21	116.0
9	22	116.0
9	23	75.0
9	24	100.0
10	1	15.0
10	2	15.0
10	3	0.0
10	4	0.0
10	5	0.0
10	6	5.0
10	7	74.0
10	8	30.0
10	9	20.0
10	10	37.0
10	11	37.0
10	12	20.0
10	13	20.0
10	14	20.0
10	15	20.0
10	16	30.0
10	17	30.0
10	18	105.0
10	19	20.0
10	20	20.0
10	21	5.0
10	22	0.0
10	23	0.0
10	24	0.0
11	1	0.0
11	2	0.0
11	3	0.0
11	4	0.0
11	5	16.0
11	6	16.0
11	7	15.0
11	8	15.0
11	9	16.0
11	10	16.0
11	11	15.0
11	12	16.0
11	13	0.0
11	14	0.0
11	15	0.0
11	16	0.0
11	17	16.0
11	18	16.0
11	19	15.0
11	20	16.0
11	21	16.0
11	22	16.0
11	23	15.0
11	24	16.0
12	1	161.0
12	2	179.0
12	3	179.0
12	4	179.0
12	5	255.0
12	6	105.0
12	7	105.0
12	8	87.0
12	9	105.0
12	10	105.0
12	11	180.0
12	12	165.0
12	13	165.0
12	14	165.0
12	15	165.0
12	16	105.0
12	17	105.0
12	18	105.0
12	19	105.0
12	20	105.0
12	21	105.0
12	22	105.0
12	23	105.0
12	24	25.0
13	1	0.0
13	2	0.0
13	3	0.0
13	4	0.0
13	5	15.0
13	6	95.0
13	7	148.0
13	8	148.0
13	9	148.0
13	10	95.0
13	11	20.0
13	12	20.0
13	13	75.0
13	14	0.0
13	15	0.0
13	16	0.0
13	17	20.0
13	18	148.0
13	19	148.0
13	20	148.0
13	21	148.0
13	22	148.0
13	23	87.0
13	24	0.0
14	1	70.0
14	2	70.0
14	3	70.0
14	4	70.0
14	5	95.0
14	6	95.0
14	7	95.0
14	8	95.0
14	9	95.0
14	10	95.0
14	11	95.0
14	12	70.0
14	13	70.0
14	14	70.0
14	15	70.0
14	16	95.0
14	17	95.0
14	18	95.0
14	19	95.0
14	20	95.0
14	21	95.0
14	22	95.0
14	23	95.0
14	24	95.0
15	1	20.0
15	2	20.0
15	3	20.0
15	4	20.0
15	5	62.0
15	6	99.0
15	7	99.0
15	8	99.0
15	9	96.0
15	10	99.0
15	11	74.0
15	12	45.0
15	13	20.0
15	14	0.0
15	15	16.0
15	16	13.0
15	17	89.0
15	18	99.0
15	19	99.0
15	20	99.0
15	21	99.0
15	22	99.0
15	23	90.0
15	24	79.0
16	1	0.0
16	2	0.0
16	3	0.0
16	4	0.0
16	5	79.0
16	6	139.0
16	7	97.0
16	8	97.0
16	9	139.0
16	10	85.0
16	11	25.0
16	12	25.0
16	13	0.0
16	14	0.0
16	15	0.0
16	16	0.0
16	17	25.0
16	18	85.0
16	19	85.0
16	20	139.0
16	21	139.0
16	22	25.0
16	23	25.0
16	24	0.0
17	1	131.0
17	2	131.0
17	3	131.0
17	4	131.0
17	5	131.0
17	6	146.0
17	7	146.0
17	8	146.0
17	9	146.0
17	10	146.0
17	11	146.0
17	12	146.0
17	13	131.0
17	14	131.0
17	15	131.0
17	16	131.0
17	17	146.0
17	18	146.0
17	19	146.0
17	20	146.0
17	21	146.0
17	22	146.0
17	23	136.0
17	24	190.0
18	1	60.0
18	2	60.0
18	3	60.0
18	4	60.0
18	5	116.0
18	6	116.0
18	7	115.0
18	8	116.0
18	9	116.0
18	10	116.0
18	11	115.0
18	12	76.0
18	13	60.0
18	14	60.0
18	15	60.0
18	16	60.0
18	17	116.0
18	18	116.0
18	19	115.0
18	20	116.0
18	21	116.0
18	22	116.0
18	23	75.0
18	24	100.0
19	1	60.0
19	2	60.0
19	3	60.0
19	4	60.0
19	5	76.0
19	6	76.0
19	7	108.0
19	8	125.0
19	9	126.0
19	10	76.0
19	11	75.0
19	12	76.0
19	13	60.0
19	14	60.0
19	15	60.0
19	16	51.0
19	17	76.0
19	18	83.0
19	19	123.0
19	20	123.0
19	21	103.0
19	22	83.0
19	23	75.0
19	24	76.0
20	1	0.0
20	2	0.0
20	3	0.0
20	4	15.0
20	5	15.0
20	6	20.0
20	7	105.0
20	8	117.0
20	9	117.0
20	10	117.0
20	11	117.0
20	12	5.0
20	13	5.0
20	14	5.0
20	15	5.0
20	16	117.0
20	17	117.0
20	18	117.0
20	19	116.0
20	20	95.0
20	21	20.0
20	22	20.0
20	23	15.0
20	24	15.0
21	1	185.0
21	2	185.0
21	3	185.0
21	4	185.0
21	5	185.0
21	6	218.0
21	7	240.0
21	8	220.0
21	9	200.0
21	10	105.0
21	11	180.0
21	12	180.0
21	13	129.0
21	14	90.0
21	15	74.0
21	16	60.0
21	17	172.0
21	18	172.0
21	19	240.0
21	20	240.0
21	21	240.0
21	22	240.0
21	23	165.0
21	24	210.0
22	1	0.0
22	2	0.0
22	3	0.0
22	4	0.0
22	5	30.0
22	6	55.0
22	7	55.0
22	8	55.0
22	9	55.0
22	10	55.0
22	11	55.0
22	12	55.0
22	13	55.0
22	14	30.0
22	15	30.0
22	16	14.0
22	17	30.0
22	18	55.0
22	19	55.0
22	20	55.0
22	21	55.0
22	22	55.0
22	23	55.0
22	24	30.0
23	1	70.0
23	2	70.0
23	3	70.0
23	4	70.0
23	5	70.0
23	6	70.0
23	7	90.0
23	8	90.0
23	9	90.0
23	10	90.0
23	11	90.0
23	12	85.0
23	13	85.0
23	14	85.0
23	15	85.0
23	16	85.0
23	17	90.0
23	18	90.0
23	19	90.0
23	20	56.0
23	21	25.0
23	22	70.0
23	23	70.0
23	24	70.0
24	1	78.0
24	2	78.0
24	3	78.0
24	4	78.0
24	5	163.0
24	6	163.0
24	7	173.0
24	8	163.0
24	9	163.0
24	10	103.0
24	11	103.0
24	12	103.0
24	13	103.0
24	14	78.0
24	15	78.0
24	16	78.0
24	17	138.0
24	18	163.0
24	19	163.0
24	20	163.0
24	21	163.0
24	22	163.0
24	23	103.0
24	24	180.0
25	1	0.0
25	2	0.0
25	3	0.0
25	4	0.0
25	5	25.0
25	6	79.0
25	7	109.0
25	8	109.0
25	9	109.0
25	10	109.0
25	11	25.0
25	12	25.0
25	13	25.0
25	14	0.0
25	15	0.0
25	16	0.0
25	17	54.0
25	18	109.0
25	19	109.0
25	20	109.0
25	21	79.0
25	22	25.0
25	23	25.0
25	24	25.0
26	1	216.0
26	2	216.0
26	3	185.0
26	4	216.0
26	5	216.0
26	6	216.0
26	7	273.0
26	8	273.0
26	9	273.0
26	10	273.0
26	11	273.0
26	12	273.0
26	13	273.0
26	14	255.0
26	15	263.0
26	16	255.0
26	17	273.0
26	18	273.0
26	19	273.0
26	20	273.0
26	21	273.0
26	22	273.0
26	23	273.0
26	24	273.0
27	1	55.0
27	2	55.0
27	3	55.0
27	4	55.0
27	5	30.0
27	6	30.0
27	7	30.0
27	8	30.0
27	9	55.0
27	10	55.0
27	11	55.0
27	12	55.0
27	13	55.0
27	14	55.0
27	15	25.0
27	16	75.0
27	17	35.0
27	18	25.0
27	19	25.0
27	20	25.0
27	21	25.0
27	22	25.0
27	23	84.0
27	24	35.0
28	1	186.0
28	2	154.0
28	3	154.0
28	4	154.0
28	5	154.0
28	6	184.0
28	7	272.0
28	8	272.0
28	9	272.0
28	10	272.0
28	11	272.0
28	12	272.0
28	13	186.0
28	14	161.0
28	15	67.0
28	16	67.0
28	17	43.0
28	18	172.0
28	19	259.0
28	20	272.0
28	21	272.0
28	22	272.0
28	23	272.0
28	24	186.0
29	1	80.0
29	2	80.0
29	3	80.0
29	4	80.0
29	5	80.0
29	6	80.0
29	7	70.0
29	8	76.0
29	9	50.0
29	10	69.0
29	11	80.0
29	12	90.0
29	13	90.0
29	14	90.0
29	15	90.0
29	16	90.0
29	17	80.0
29	18	90.0
29	19	90.0
29	20	90.0
29	21	70.0
29	22	70.0
29	23	70.0
29	24	90.0
30	1	0.0
30	2	0.0
30	3	0.0
30	4	0.0
30	5	131.0
30	6	210.0
30	7	285.0
30	8	285.0
30	9	285.0
30	10	231.0
30	11	131.0
30	12	131.0
30	13	106.0
30	14	106.0
30	15	106.0
30	16	106.0
30	17	210.0
30	18	285.0
30	19	285.0
30	20	285.0
30	21	285.0
30	22	131.0
30	23	131.0
30	24	73.0
31	1	130.0
31	2	130.0
31	3	130.0
31	4	130.0
31	5	130.0
31	6	130.0
31	7	203.0
31	8	260.0
31	9	260.0
31	10	260.0
31	11	260.0
31	12	230.0
31	13	173.0
31	14	173.0
31	15	173.0
31	16	173.0
31	17	173.0
31	18	193.0
31	19	193.0
31	20	193.0
31	21	193.0
31	22	193.0
31	23	173.0
31	24	173.0
32	1	70.0
32	2	70.0
32	3	70.0
32	4	70.0
32	5	70.0
32	6	70.0
32	7	115.0
32	8	115.0
32	9	115.0
32	10	95.0
32	11	95.0
32	12	95.0
32	13	70.0
32	14	70.0
32	15	70.0
32	16	70.0
32	17	70.0
32	18	95.0
32	19	115.0
32	20	115.0
32	21	115.0
32	22	115.0
32	23	95.0
32	24	95.0
33	1	25.0
33	2	35.0
33	3	35.0
33	4	35.0
33	5	35.0
33	6	10.0
33	7	10.0
33	8	95.0
33	9	107.0
33	10	132.0
33	11	105.0
33	12	132.0
33	13	35.0
33	14	65.0
33	15	89.0
33	16	160.0
33	17	122.0
33	18	122.0
33	19	122.0
33	20	131.0
33	21	122.0
33	22	25.0
33	23	25.0
33	24	68.0
34	1	68.0
34	2	43.0
34	3	43.0
34	4	43.0
34	5	43.0
34	6	68.0
34	7	96.0
34	8	96.0
34	9	96.0
34	10	96.0
34	11	96.0
34	12	96.0
34	13	96.0
34	14	96.0
34	15	43.0
34	16	43.0
34	17	43.0
34	18	43.0
34	19	96.0
34	20	96.0
34	21	96.0
34	22	96.0
34	23	96.0
34	24	68.0
35	1	112.0
35	2	102.0
35	3	112.0
35	4	102.0
35	5	112.0
35	6	112.0
35	7	179.0
35	8	233.0
35	9	233.0
35	10	233.0
35	11	233.0
35	12	233.0
35	13	122.0
35	14	122.0
35	15	87.0
35	16	87.0
35	17	151.0
35	18	198.0
35	19	233.0
35	20	233.0
35	21	233.0
35	22	179.0
35	23	179.0
35	24	112.0
