Node	Time	Spot_Price
3	1	50
3	2	50
3	3	50
3	4	50
3	5	50
3	6	50
3	7	50
3	8	50
3	9	50
3	10	50
3	11	50
3	12	50
3	13	50
3	14	50
3	15	50
3	16	50
3	17	50
3	18	50
3	19	50
3	20	50
3	21	50
3	22	50
3	23	50
3	24	50
4	1	50
4	2	50
4	3	50
4	4	50
4	5	50
4	6	50
4	7	50
4	8	50
4	9	50
4	10	50
4	11	50
4	12	50
4	13	50
4	14	50
4	15	50
4	16	50
4	17	50
4	18	50
4	19	50
4	20	50
4	21	50
4	22	50
4	23	50
4	24	50
5	1	50
5	2	50
5	3	50
5	4	50
5	5	50
5	6	50
5	7	50
5	8	50
5	9	50
5	10	50
5	11	50
5	12	50
5	13	50
5	14	50
5	15	50
5	16	50
5	17	50
5	18	50
5	19	50
5	20	50
5	21	50
5	22	50
5	23	50
5	24	50
6	1	50
6	2	50
6	3	50
6	4	50
6	5	50
6	6	50
6	7	50
6	8	50
6	9	50
6	10	50
6	11	50
6	12	50
6	13	50
6	14	50
6	15	50
6	16	50
6	17	50
6	18	50
6	19	50
6	20	50
6	21	50
6	22	50
6	23	50
6	24	50
7	1	50
7	2	50
7	3	50
7	4	50
7	5	50
7	6	50
7	7	50
7	8	50
7	9	50
7	10	50
7	11	50
7	12	50
7	13	50
7	14	50
7	15	50
7	16	50
7	17	50
7	18	50
7	19	50
7	20	50
7	21	50
7	22	50
7	23	50
7	24	50
8	1	50
8	2	50
8	3	50
8	4	50
8	5	50
8	6	50
8	7	50
8	8	50
8	9	50
8	10	50
8	11	50
8	12	50
8	13	50
8	14	50
8	15	50
8	16	50
8	17	50
8	18	50
8	19	50
8	20	50
8	21	50
8	22	50
8	23	50
8	24	50
9	1	50
9	2	50
9	3	50
9	4	50
9	5	50
9	6	50
9	7	50
9	8	50
9	9	50
9	10	50
9	11	50
9	12	50
9	13	50
9	14	50
9	15	50
9	16	50
9	17	50
9	18	50
9	19	50
9	20	50
9	21	50
9	22	50
9	23	50
9	24	50
10	1	50
10	2	50
10	3	50
10	4	50
10	5	50
10	6	50
10	7	50
10	8	50
10	9	50
10	10	50
10	11	50
10	12	50
10	13	50
10	14	50
10	15	50
10	16	50
10	17	50
10	18	50
10	19	50
10	20	50
10	21	50
10	22	50
10	23	50
10	24	50
11	1	50
11	2	50
11	3	50
11	4	50
11	5	50
11	6	50
11	7	50
11	8	50
11	9	50
11	10	50
11	11	50
11	12	50
11	13	50
11	14	50
11	15	50
11	16	50
11	17	50
11	18	50
11	19	50
11	20	50
11	21	50
11	22	50
11	23	50
11	24	50
12	1	50
12	2	50
12	3	50
12	4	50
12	5	50
12	6	50
12	7	50
12	8	50
12	9	50
12	10	50
12	11	50
12	12	50
12	13	50
12	14	50
12	15	50
12	16	50
12	17	50
12	18	50
12	19	50
12	20	50
12	21	50
12	22	50
12	23	50
12	24	50
13	1	50
13	2	50
13	3	50
13	4	50
13	5	50
13	6	50
13	7	50
13	8	50
13	9	50
13	10	50
13	11	50
13	12	50
13	13	50
13	14	50
13	15	50
13	16	50
13	17	50
13	18	50
13	19	50
13	20	50
13	21	50
13	22	50
13	23	50
13	24	50
14	1	50
14	2	50
14	3	50
14	4	50
14	5	50
14	6	50
14	7	50
14	8	50
14	9	50
14	10	50
14	11	50
14	12	50
14	13	50
14	14	50
14	15	50
14	16	50
14	17	50
14	18	50
14	19	50
14	20	50
14	21	50
14	22	50
14	23	50
14	24	50
15	1	50
15	2	50
15	3	50
15	4	50
15	5	50
15	6	50
15	7	50
15	8	50
15	9	50
15	10	50
15	11	50
15	12	50
15	13	50
15	14	50
15	15	50
15	16	50
15	17	50
15	18	50
15	19	50
15	20	50
15	21	50
15	22	50
15	23	50
15	24	50
16	1	50
16	2	50
16	3	50
16	4	50
16	5	50
16	6	50
16	7	50
16	8	50
16	9	50
16	10	50
16	11	50
16	12	50
16	13	50
16	14	50
16	15	50
16	16	50
16	17	50
16	18	50
16	19	50
16	20	50
16	21	50
16	22	50
16	23	50
16	24	50
17	1	50
17	2	50
17	3	50
17	4	50
17	5	50
17	6	50
17	7	50
17	8	50
17	9	50
17	10	50
17	11	50
17	12	50
17	13	50
17	14	50
17	15	50
17	16	50
17	17	50
17	18	50
17	19	50
17	20	50
17	21	50
17	22	50
17	23	50
17	24	50
18	1	50
18	2	50
18	3	50
18	4	50
18	5	50
18	6	50
18	7	50
18	8	50
18	9	50
18	10	50
18	11	50
18	12	50
18	13	50
18	14	50
18	15	50
18	16	50
18	17	50
18	18	50
18	19	50
18	20	50
18	21	50
18	22	50
18	23	50
18	24	50
19	1	50
19	2	50
19	3	50
19	4	50
19	5	50
19	6	50
19	7	50
19	8	50
19	9	50
19	10	50
19	11	50
19	12	50
19	13	50
19	14	50
19	15	50
19	16	50
19	17	50
19	18	50
19	19	50
19	20	50
19	21	50
19	22	50
19	23	50
19	24	50
20	1	50
20	2	50
20	3	50
20	4	50
20	5	50
20	6	50
20	7	50
20	8	50
20	9	50
20	10	50
20	11	50
20	12	50
20	13	50
20	14	50
20	15	50
20	16	50
20	17	50
20	18	50
20	19	50
20	20	50
20	21	50
20	22	50
20	23	50
20	24	50
21	1	50
21	2	50
21	3	50
21	4	50
21	5	50
21	6	50
21	7	50
21	8	50
21	9	50
21	10	50
21	11	50
21	12	50
21	13	50
21	14	50
21	15	50
21	16	50
21	17	50
21	18	50
21	19	50
21	20	50
21	21	50
21	22	50
21	23	50
21	24	50
22	1	50
22	2	50
22	3	50
22	4	50
22	5	50
22	6	50
22	7	50
22	8	50
22	9	50
22	10	50
22	11	50
22	12	50
22	13	50
22	14	50
22	15	50
22	16	50
22	17	50
22	18	50
22	19	50
22	20	50
22	21	50
22	22	50
22	23	50
22	24	50
23	1	50
23	2	50
23	3	50
23	4	50
23	5	50
23	6	50
23	7	50
23	8	50
23	9	50
23	10	50
23	11	50
23	12	50
23	13	50
23	14	50
23	15	50
23	16	50
23	17	50
23	18	50
23	19	50
23	20	50
23	21	50
23	22	50
23	23	50
23	24	50
24	1	50
24	2	50
24	3	50
24	4	50
24	5	50
24	6	50
24	7	50
24	8	50
24	9	50
24	10	50
24	11	50
24	12	50
24	13	50
24	14	50
24	15	50
24	16	50
24	17	50
24	18	50
24	19	50
24	20	50
24	21	50
24	22	50
24	23	50
24	24	50
25	1	50
25	2	50
25	3	50
25	4	50
25	5	50
25	6	50
25	7	50
25	8	50
25	9	50
25	10	50
25	11	50
25	12	50
25	13	50
25	14	50
25	15	50
25	16	50
25	17	50
25	18	50
25	19	50
25	20	50
25	21	50
25	22	50
25	23	50
25	24	50
26	1	50
26	2	50
26	3	50
26	4	50
26	5	50
26	6	50
26	7	50
26	8	50
26	9	50
26	10	50
26	11	50
26	12	50
26	13	50
26	14	50
26	15	50
26	16	50
26	17	50
26	18	50
26	19	50
26	20	50
26	21	50
26	22	50
26	23	50
26	24	50
27	1	50
27	2	50
27	3	50
27	4	50
27	5	50
27	6	50
27	7	50
27	8	50
27	9	50
27	10	50
27	11	50
27	12	50
27	13	50
27	14	50
27	15	50
27	16	50
27	17	50
27	18	50
27	19	50
27	20	50
27	21	50
27	22	50
27	23	50
27	24	50
28	1	50
28	2	50
28	3	50
28	4	50
28	5	50
28	6	50
28	7	50
28	8	50
28	9	50
28	10	50
28	11	50
28	12	50
28	13	50
28	14	50
28	15	50
28	16	50
28	17	50
28	18	50
28	19	50
28	20	50
28	21	50
28	22	50
28	23	50
28	24	50
29	1	50
29	2	50
29	3	50
29	4	50
29	5	50
29	6	50
29	7	50
29	8	50
29	9	50
29	10	50
29	11	50
29	12	50
29	13	50
29	14	50
29	15	50
29	16	50
29	17	50
29	18	50
29	19	50
29	20	50
29	21	50
29	22	50
29	23	50
29	24	50
30	1	50
30	2	50
30	3	50
30	4	50
30	5	50
30	6	50
30	7	50
30	8	50
30	9	50
30	10	50
30	11	50
30	12	50
30	13	50
30	14	50
30	15	50
30	16	50
30	17	50
30	18	50
30	19	50
30	20	50
30	21	50
30	22	50
30	23	50
30	24	50
31	1	50
31	2	50
31	3	50
31	4	50
31	5	50
31	6	50
31	7	50
31	8	50
31	9	50
31	10	50
31	11	50
31	12	50
31	13	50
31	14	50
31	15	50
31	16	50
31	17	50
31	18	50
31	19	50
31	20	50
31	21	50
31	22	50
31	23	50
31	24	50
32	1	50
32	2	50
32	3	50
32	4	50
32	5	50
32	6	50
32	7	50
32	8	50
32	9	50
32	10	50
32	11	50
32	12	50
32	13	50
32	14	50
32	15	50
32	16	50
32	17	50
32	18	50
32	19	50
32	20	50
32	21	50
32	22	50
32	23	50
32	24	50
33	1	50
33	2	50
33	3	50
33	4	50
33	5	50
33	6	50
33	7	50
33	8	50
33	9	50
33	10	50
33	11	50
33	12	50
33	13	50
33	14	50
33	15	50
33	16	50
33	17	50
33	18	50
33	19	50
33	20	50
33	21	50
33	22	50
33	23	50
33	24	50
34	1	50
34	2	50
34	3	50
34	4	50
34	5	50
34	6	50
34	7	50
34	8	50
34	9	50
34	10	50
34	11	50
34	12	50
34	13	50
34	14	50
34	15	50
34	16	50
34	17	50
34	18	50
34	19	50
34	20	50
34	21	50
34	22	50
34	23	50
34	24	50
35	1	50
35	2	50
35	3	50
35	4	50
35	5	50
35	6	50
35	7	50
35	8	50
35	9	50
35	10	50
35	11	50
35	12	50
35	13	50
35	14	50
35	15	50
35	16	50
35	17	50
35	18	50
35	19	50
35	20	50
35	21	50
35	22	50
35	23	50
35	24	50
36	1	50
36	2	50
36	3	50
36	4	50
36	5	50
36	6	50
36	7	50
36	8	50
36	9	50
36	10	50
36	11	50
36	12	50
36	13	50
36	14	50
36	15	50
36	16	50
36	17	50
36	18	50
36	19	50
36	20	50
36	21	50
36	22	50
36	23	50
36	24	50
37	1	50
37	2	50
37	3	50
37	4	50
37	5	50
37	6	50
37	7	50
37	8	50
37	9	50
37	10	50
37	11	50
37	12	50
37	13	50
37	14	50
37	15	50
37	16	50
37	17	50
37	18	50
37	19	50
37	20	50
37	21	50
37	22	50
37	23	50
37	24	50
38	1	50
38	2	50
38	3	50
38	4	50
38	5	50
38	6	50
38	7	50
38	8	50
38	9	50
38	10	50
38	11	50
38	12	50
38	13	50
38	14	50
38	15	50
38	16	50
38	17	50
38	18	50
38	19	50
38	20	50
38	21	50
38	22	50
38	23	50
38	24	50
39	1	50
39	2	50
39	3	50
39	4	50
39	5	50
39	6	50
39	7	50
39	8	50
39	9	50
39	10	50
39	11	50
39	12	50
39	13	50
39	14	50
39	15	50
39	16	50
39	17	50
39	18	50
39	19	50
39	20	50
39	21	50
39	22	50
39	23	50
39	24	50
40	1	50
40	2	50
40	3	50
40	4	50
40	5	50
40	6	50
40	7	50
40	8	50
40	9	50
40	10	50
40	11	50
40	12	50
40	13	50
40	14	50
40	15	50
40	16	50
40	17	50
40	18	50
40	19	50
40	20	50
40	21	50
40	22	50
40	23	50
40	24	50
41	1	50
41	2	50
41	3	50
41	4	50
41	5	50
41	6	50
41	7	50
41	8	50
41	9	50
41	10	50
41	11	50
41	12	50
41	13	50
41	14	50
41	15	50
41	16	50
41	17	50
41	18	50
41	19	50
41	20	50
41	21	50
41	22	50
41	23	50
41	24	50
42	1	50
42	2	50
42	3	50
42	4	50
42	5	50
42	6	50
42	7	50
42	8	50
42	9	50
42	10	50
42	11	50
42	12	50
42	13	50
42	14	50
42	15	50
42	16	50
42	17	50
42	18	50
42	19	50
42	20	50
42	21	50
42	22	50
42	23	50
42	24	50
43	1	50
43	2	50
43	3	50
43	4	50
43	5	50
43	6	50
43	7	50
43	8	50
43	9	50
43	10	50
43	11	50
43	12	50
43	13	50
43	14	50
43	15	50
43	16	50
43	17	50
43	18	50
43	19	50
43	20	50
43	21	50
43	22	50
43	23	50
43	24	50
44	1	50
44	2	50
44	3	50
44	4	50
44	5	50
44	6	50
44	7	50
44	8	50
44	9	50
44	10	50
44	11	50
44	12	50
44	13	50
44	14	50
44	15	50
44	16	50
44	17	50
44	18	50
44	19	50
44	20	50
44	21	50
44	22	50
44	23	50
44	24	50
45	1	50
45	2	50
45	3	50
45	4	50
45	5	50
45	6	50
45	7	50
45	8	50
45	9	50
45	10	50
45	11	50
45	12	50
45	13	50
45	14	50
45	15	50
45	16	50
45	17	50
45	18	50
45	19	50
45	20	50
45	21	50
45	22	50
45	23	50
45	24	50
46	1	50
46	2	50
46	3	50
46	4	50
46	5	50
46	6	50
46	7	50
46	8	50
46	9	50
46	10	50
46	11	50
46	12	50
46	13	50
46	14	50
46	15	50
46	16	50
46	17	50
46	18	50
46	19	50
46	20	50
46	21	50
46	22	50
46	23	50
46	24	50
47	1	50
47	2	50
47	3	50
47	4	50
47	5	50
47	6	50
47	7	50
47	8	50
47	9	50
47	10	50
47	11	50
47	12	50
47	13	50
47	14	50
47	15	50
47	16	50
47	17	50
47	18	50
47	19	50
47	20	50
47	21	50
47	22	50
47	23	50
47	24	50
48	1	50
48	2	50
48	3	50
48	4	50
48	5	50
48	6	50
48	7	50
48	8	50
48	9	50
48	10	50
48	11	50
48	12	50
48	13	50
48	14	50
48	15	50
48	16	50
48	17	50
48	18	50
48	19	50
48	20	50
48	21	50
48	22	50
48	23	50
48	24	50
49	1	50
49	2	50
49	3	50
49	4	50
49	5	50
49	6	50
49	7	50
49	8	50
49	9	50
49	10	50
49	11	50
49	12	50
49	13	50
49	14	50
49	15	50
49	16	50
49	17	50
49	18	50
49	19	50
49	20	50
49	21	50
49	22	50
49	23	50
49	24	50
50	1	50
50	2	50
50	3	50
50	4	50
50	5	50
50	6	50
50	7	50
50	8	50
50	9	50
50	10	50
50	11	50
50	12	50
50	13	50
50	14	50
50	15	50
50	16	50
50	17	50
50	18	50
50	19	50
50	20	50
50	21	50
50	22	50
50	23	50
50	24	50
51	1	50
51	2	50
51	3	50
51	4	50
51	5	50
51	6	50
51	7	50
51	8	50
51	9	50
51	10	50
51	11	50
51	12	50
51	13	50
51	14	50
51	15	50
51	16	50
51	17	50
51	18	50
51	19	50
51	20	50
51	21	50
51	22	50
51	23	50
51	24	50
52	1	50
52	2	50
52	3	50
52	4	50
52	5	50
52	6	50
52	7	50
52	8	50
52	9	50
52	10	50
52	11	50
52	12	50
52	13	50
52	14	50
52	15	50
52	16	50
52	17	50
52	18	50
52	19	50
52	20	50
52	21	50
52	22	50
52	23	50
52	24	50
53	1	50
53	2	50
53	3	50
53	4	50
53	5	50
53	6	50
53	7	50
53	8	50
53	9	50
53	10	50
53	11	50
53	12	50
53	13	50
53	14	50
53	15	50
53	16	50
53	17	50
53	18	50
53	19	50
53	20	50
53	21	50
53	22	50
53	23	50
53	24	50
54	1	50
54	2	50
54	3	50
54	4	50
54	5	50
54	6	50
54	7	50
54	8	50
54	9	50
54	10	50
54	11	50
54	12	50
54	13	50
54	14	50
54	15	50
54	16	50
54	17	50
54	18	50
54	19	50
54	20	50
54	21	50
54	22	50
54	23	50
54	24	50
55	1	50
55	2	50
55	3	50
55	4	50
55	5	50
55	6	50
55	7	50
55	8	50
55	9	50
55	10	50
55	11	50
55	12	50
55	13	50
55	14	50
55	15	50
55	16	50
55	17	50
55	18	50
55	19	50
55	20	50
55	21	50
55	22	50
55	23	50
55	24	50
56	1	50
56	2	50
56	3	50
56	4	50
56	5	50
56	6	50
56	7	50
56	8	50
56	9	50
56	10	50
56	11	50
56	12	50
56	13	50
56	14	50
56	15	50
56	16	50
56	17	50
56	18	50
56	19	50
56	20	50
56	21	50
56	22	50
56	23	50
56	24	50
57	1	50
57	2	50
57	3	50
57	4	50
57	5	50
57	6	50
57	7	50
57	8	50
57	9	50
57	10	50
57	11	50
57	12	50
57	13	50
57	14	50
57	15	50
57	16	50
57	17	50
57	18	50
57	19	50
57	20	50
57	21	50
57	22	50
57	23	50
57	24	50
58	1	50
