Node	Time	Spot_Price
3	1	34.51
3	2	34.24
3	3	34.18
3	4	34.1
3	5	33.96
3	6	35.59
3	7	71.72
3	8	76.2
3	9	76.02
3	10	74.68
3	11	68.85
3	12	60.65
3	13	47.01
3	14	37.16
3	15	35.03
3	16	35.3
3	17	35.16
3	18	35.61
3	19	35.96
3	20	35.15
3	21	35.86
3	22	35.23
3	23	33.7
3	24	33.58
4	1	22.98
4	2	22.9
4	3	22.33
4	4	22.24
4	5	22.12
4	6	22.5
4	7	23.77
4	8	23.92
4	9	24.18
4	10	25.24
4	11	24.94
4	12	21.74
4	13	11.73
4	14	20.11
4	15	24.18
4	16	22.99
4	17	22.95
4	18	22.77
4	19	22.34
4	20	22.97
4	21	22.91
4	22	23.11
4	23	23.36
4	24	23.48
5	1	0.34
5	2	0.04
5	3	0.04
5	4	0.11
5	5	0.43
5	6	1.83
5	7	2.98
5	8	6.1
5	9	6.2
5	10	6.03
5	11	5.05
5	12	4.99
5	13	2.49
5	14	2.6
5	15	2.98
5	16	3.76
5	17	3.61
5	18	3.52
5	19	3.29
5	20	3.31
5	21	2.46
5	22	1.0
5	23	0.42
5	24	0.0
6	1	-0.03
6	2	-0.06
6	3	-0.07
6	4	-0.05
6	5	0.09
6	6	1.95
6	7	3.68
6	8	6.05
6	9	6.6
6	10	4.41
6	11	4.1
6	12	3.96
6	13	1.18
6	14	2.28
6	15	3.08
6	16	3.6
6	17	4.18
6	18	4.58
6	19	4.21
6	20	3.31
6	21	2.52
6	22	1.11
6	23	0.15
6	24	-0.04
7	1	38.23
7	2	25.17
7	3	20.64
7	4	18.82
7	5	17.85
7	6	19.55
7	7	25.5
7	8	49.44
7	9	53.23
7	10	53.88
7	11	53.68
7	12	53.19
7	13	52.59
7	14	52.38
7	15	50.51
7	16	51.54
7	17	52.96
7	18	55.41
7	19	54.92
7	20	51.81
7	21	50.04
7	22	50.12
7	23	49.9
7	24	47.52
8	1	50.09
8	2	48.77
8	3	49.55
8	4	49.56
8	5	52.65
8	6	55.42
8	7	56.66
8	8	59.09
8	9	61.78
8	10	61.68
8	11	61.8
8	12	61.89
8	13	62.61
8	14	62.92
8	15	63.9
8	16	88.97
8	17	105.07
8	18	123.47
8	19	113.66
8	20	104.19
8	21	89.13
8	22	81.83
8	23	64.4
8	24	62.19
9	1	48.68
9	2	46.66
9	3	44.94
9	4	48.66
9	5	50.74
9	6	53.13
9	7	59.39
9	8	66.05
9	9	89.02
9	10	85.25
9	11	81.35
9	12	76.22
9	13	72.63
9	14	75.44
9	15	79.56
9	16	89.1
9	17	81.53
9	18	119.56
9	19	111.96
9	20	95.73
9	21	88.24
9	22	83.64
9	23	77.93
9	24	72.83
10	1	60.7
10	2	60.49
10	3	60.67
10	4	62.51
10	5	64.88
10	6	74.18
10	7	85.46
10	8	110.57
10	9	96.79
10	10	75.19
10	11	68.02
10	12	61.69
10	13	60.31
10	14	61.26
10	15	62.65
10	16	71.52
10	17	76.96
10	18	101.96
10	19	160.12
10	20	142.56
10	21	99.55
10	22	68.97
10	23	72.73
10	24	68.95
11	1	19.95
11	2	19.93
11	3	19.95
11	4	20.0
11	5	23.01
11	6	36.59
11	7	37.96
11	8	37.39
11	9	14.99
11	10	0.33
11	11	-1.46
11	12	-3.0
11	13	-3.72
11	14	-4.99
11	15	-3.99
11	16	-0.1
11	17	4.21
11	18	28.87
11	19	36.53
11	20	36.63
11	21	36.33
11	22	32.42
11	23	26.85
11	24	29.62
12	1	32.09
12	2	30.86
12	3	30.17
12	4	30.17
12	5	31.02
12	6	34.36
12	7	36.45
12	8	37.27
12	9	36.77
12	10	34.26
12	11	28.38
12	12	26.1
12	13	22.08
12	14	22.77
12	15	25.95
12	16	32.96
12	17	34.52
12	18	35.42
12	19	35.34
12	20	35.03
12	21	34.18
12	22	32.94
12	23	32.84
12	24	30.64
13	1	32.99
13	2	30.03
13	3	28.73
13	4	30.0
13	5	32.68
13	6	36.49
13	7	37.47
13	8	37.71
13	9	38.06
13	10	38.06
13	11	38.47
13	12	37.77
13	13	37.2
13	14	36.87
13	15	36.46
13	16	37.27
13	17	38.36
13	18	38.16
13	19	38.03
13	20	37.91
13	21	37.98
13	22	37.81
13	23	37.56
13	24	36.17
14	1	35.17
14	2	35.0
14	3	34.82
14	4	34.79
14	5	34.98
14	6	35.69
14	7	37.16
14	8	37.95
14	9	37.91
14	10	36.21
14	11	35.58
14	12	35.33
14	13	34.59
14	14	33.92
14	15	32.59
14	16	33.44
14	17	35.15
14	18	35.09
14	19	35.82
14	20	37.54
14	21	36.98
14	22	37.76
14	23	36.18
14	24	36.12
15	1	36.65
15	2	36.42
15	3	36.42
15	4	36.08
15	5	36.01
15	6	39.35
15	7	42.68
15	8	43.6
15	9	42.82
15	10	42.42
15	11	41.7
15	12	40.96
15	13	39.37
15	14	36.55
15	15	36.95
15	16	39.25
15	17	39.5
15	18	39.58
15	19	39.54
15	20	38.42
15	21	37.3
15	22	36.8
15	23	36.63
15	24	36.43
16	1	17.16
16	2	16.49
16	3	17.16
16	4	16.24
16	5	16.31
16	6	18.33
16	7	19.84
16	8	20.51
16	9	20.48
16	10	20.42
16	11	20.19
16	12	19.1
16	13	18.89
16	14	18.99
16	15	18.84
16	16	19.0
16	17	19.12
16	18	19.46
16	19	19.61
16	20	19.64
16	21	19.17
16	22	18.32
16	23	17.53
16	24	18.57
17	1	52.23
17	2	50.87
17	3	50.43
17	4	52.26
17	5	53.06
17	6	79.5
17	7	115.51
17	8	106.71
17	9	89.55
17	10	82.75
17	11	77.02
17	12	63.95
17	13	59.95
17	14	60.11
17	15	57.98
17	16	61.82
17	17	72.69
17	18	79.91
17	19	98.43
17	20	83.95
17	21	85.0
17	22	72.45
17	23	70.94
17	24	51.55
18	1	50.52
18	2	50.21
18	3	50.26
18	4	50.25
18	5	50.25
18	6	40.61
18	7	43.69
18	8	47.39
18	9	38.81
18	10	10.58
18	11	3.3
18	12	0.52
18	13	-0.18
18	14	-0.07
18	15	8.1
18	16	36.82
18	17	43.69
18	18	51.88
18	19	50.56
18	20	50.59
18	21	50.46
18	22	50.22
18	23	47.37
18	24	48.06
19	1	29.59
19	2	29.34
19	3	29.42
19	4	29.34
19	5	29.53
19	6	32.68
19	7	49.49
19	8	54.68
19	9	35.38
19	10	31.87
19	11	31.41
19	12	28.23
19	13	29.16
19	14	30.99
19	15	31.06
19	16	30.46
19	17	31.14
19	18	33.83
19	19	33.83
19	20	30.69
19	21	30.2
19	22	30.31
19	23	29.57
19	24	28.0
20	1	35.0
20	2	34.79
20	3	35.2
20	4	35.19
20	5	35.27
20	6	36.38
20	7	38.58
20	8	39.31
20	9	39.6
20	10	39.31
20	11	39.12
20	12	38.0
20	13	38.5
20	14	37.95
20	15	37.49
20	16	37.93
20	17	37.6
20	18	37.15
20	19	37.05
20	20	36.95
20	21	37.11
20	22	37.47
20	23	37.33
20	24	37.59
21	1	15.24
21	2	14.45
21	3	13.91
21	4	14.61
21	5	15.24
21	6	20.91
21	7	42.98
21	8	49.99
21	9	39.86
21	10	36.63
21	11	18.17
21	12	4.32
21	13	3.24
21	14	3.03
21	15	3.96
21	16	12.78
21	17	26.79
21	18	42.73
21	19	29.89
21	20	28.88
21	21	28.19
21	22	26.84
21	23	24.74
21	24	14.3
22	1	29.21
22	2	28.93
22	3	28.82
22	4	28.85
22	5	28.89
22	6	29.72
22	7	30.01
22	8	33.98
22	9	29.38
22	10	25.94
22	11	6.36
22	12	2.48
22	13	0.01
22	14	0.02
22	15	7.68
22	16	29.03
22	17	29.86
22	18	31.78
22	19	33.97
22	20	33.97
22	21	32.5
22	22	32.49
22	23	31.17
22	24	30.21
23	1	35.11
23	2	34.42
23	3	34.83
23	4	33.29
23	5	34.19
23	6	38.44
23	7	41.12
23	8	41.2
23	9	38.86
23	10	35.51
23	11	37.4
23	12	39.49
23	13	39.18
23	14	38.84
23	15	39.16
23	16	39.24
23	17	42.86
23	18	50.69
23	19	55.01
23	20	57.5
23	21	55.93
23	22	47.0
23	23	44.4
23	24	36.69
24	1	15.14
24	2	14.7
24	3	13.93
24	4	14.28
24	5	15.66
24	6	20.97
24	7	50.65
24	8	52.46
24	9	50.43
24	10	19.72
24	11	18.79
24	12	18.59
24	13	18.27
24	14	18.27
24	15	18.29
24	16	44.15
24	17	51.28
24	18	53.25
24	19	51.49
24	20	52.32
24	21	49.9
24	22	17.93
24	23	12.12
24	24	11.34
25	1	32.78
25	2	32.59
25	3	32.33
25	4	32.01
25	5	31.33
25	6	32.0
25	7	32.98
25	8	32.94
25	9	34.0
25	10	31.62
25	11	21.29
25	12	15.87
25	13	10.0
25	14	18.39
25	15	25.99
25	16	31.7
25	17	32.65
25	18	32.65
25	19	32.64
25	20	32.68
25	21	32.55
25	22	32.5
25	23	32.8
25	24	29.34
26	1	6.9
26	2	7.42
26	3	8.81
26	4	9.98
26	5	12.18
26	6	13.92
26	7	51.08
26	8	124.47
26	9	85.93
26	10	50.1
26	11	40.1
26	12	42.31
26	13	40.14
26	14	41.85
26	15	42.96
26	16	43.05
26	17	45.74
26	18	45.97
26	19	45.53
26	20	44.04
26	21	23.9
26	22	18.21
26	23	14.02
26	24	15.97
27	1	22.91
27	2	21.19
27	3	15.2
27	4	16.66
27	5	17.82
27	6	16.73
27	7	19.72
27	8	25.55
27	9	21.42
27	10	26.0
27	11	28.97
27	12	29.76
27	13	29.63
27	14	28.41
27	15	26.25
27	16	27.44
27	17	29.09
27	18	28.95
27	19	29.77
27	20	26.01
27	21	26.89
27	22	23.71
27	23	23.45
27	24	22.6
28	1	42.53
28	2	41.69
28	3	41.53
28	4	41.16
28	5	44.58
28	6	48.99
28	7	122.61
28	8	136.89
28	9	112.66
28	10	56.95
28	11	49.77
28	12	47.0
28	13	45.55
28	14	44.57
28	15	42.14
28	16	43.72
28	17	49.18
28	18	79.98
28	19	123.05
28	20	48.94
28	21	46.14
28	22	42.59
28	23	41.99
28	24	40.08
29	1	17.67
29	2	14.78
29	3	14.49
29	4	14.77
29	5	15.06
29	6	20.26
29	7	29.25
29	8	152.84
29	9	140.07
29	10	125.67
29	11	116.96
29	12	105.2
29	13	96.78
29	14	50.13
29	15	30.06
29	16	23.27
29	17	22.8
29	18	23.27
29	19	22.4
29	20	22.23
29	21	21.89
29	22	21.06
29	23	20.34
29	24	17.91
30	1	29.12
30	2	29.17
30	3	29.47
30	4	28.96
30	5	29.14
30	6	30.68
30	7	32.48
30	8	36.91
30	9	37.23
30	10	38.91
30	11	37.45
30	12	34.27
30	13	33.57
30	14	33.7
30	15	33.37
30	16	32.6
30	17	33.51
30	18	34.47
30	19	35.25
30	20	32.82
30	21	34.35
30	22	33.4
30	23	32.09
30	24	31.58
31	1	87.02
31	2	84.32
31	3	81.82
31	4	80.63
31	5	79.04
31	6	82.1
31	7	94.3
31	8	111.22
31	9	121.11
31	10	120.73
31	11	113.9
31	12	105.54
31	13	97.84
31	14	94.88
31	15	102.46
31	16	110.64
31	17	128.0
31	18	132.31
31	19	130.01
31	20	122.12
31	21	114.21
31	22	99.85
31	23	97.08
31	24	88.83
32	1	68.4
32	2	65.34
32	3	64.05
32	4	62.76
32	5	63.32
32	6	65.85
32	7	74.97
32	8	89.38
32	9	104.27
32	10	103.3
32	11	95.85
32	12	86.56
32	13	78.72
32	14	75.15
32	15	76.91
32	16	86.95
32	17	104.6
32	18	114.77
32	19	108.49
32	20	85.1
32	21	75.82
32	22	73.01
32	23	70.69
32	24	66.69
33	1	68.4
33	2	65.34
33	3	64.05
33	4	62.76
33	5	63.32
33	6	65.85
33	7	74.97
33	8	89.38
33	9	104.27
33	10	103.3
33	11	95.85
33	12	86.56
33	13	78.72
33	14	75.15
33	15	76.91
33	16	86.95
33	17	104.6
33	18	114.77
33	19	108.49
33	20	85.1
33	21	75.82
33	22	73.01
33	23	70.69
33	24	66.69
34	1	68.4
34	2	65.34
34	3	64.05
34	4	62.76
34	5	63.32
34	6	65.85
34	7	74.97
34	8	89.38
34	9	104.27
34	10	103.3
34	11	95.85
34	12	86.56
34	13	78.72
34	14	75.15
34	15	76.91
34	16	86.95
34	17	104.6
34	18	114.77
34	19	108.49
34	20	85.1
34	21	75.82
34	22	73.01
34	23	70.69
34	24	66.69
35	1	53.79
35	2	48.98
35	3	27.45
35	4	24.48
35	5	24.01
35	6	21.23
35	7	22.62
35	8	25.04
35	9	26.24
35	10	32.21
35	11	47.71
35	12	52.51
35	13	56.57
35	14	59.82
35	15	62.06
35	16	62.52
35	17	63.19
35	18	64.99
35	19	63.58
35	20	63.1
35	21	62.15
35	22	58.27
35	23	52.58
35	24	44.03
36	1	38.0
36	2	33.56
36	3	32.03
36	4	32.29
36	5	36.7
36	6	41.72
36	7	49.18
