Node	Time	ActivationDownPrice
3	1	0.0
3	2	0.0
3	3	-3.0
3	4	-4.0
3	5	-4.0
3	6	0.0
3	7	20.11
3	8	46.93
3	9	47.55
3	10	40.6
3	11	48.07
3	12	45.7
3	13	30.0
3	14	30.0
3	15	30.0
3	16	31.56
3	17	50.63
3	18	49.42
3	19	29.99
3	20	24.13
3	21	25.1
3	22	10.0
3	23	10.0
3	24	17.04
4	1	10.0
4	2	10.0
4	3	11.0
4	4	11.0
4	5	10.0
4	6	10.0
4	7	23.01
4	8	23.6
4	9	23.73
4	10	23.81
4	11	18.76
4	12	19.0
4	13	16.0
4	14	16.0
4	15	19.0
4	16	23.25
4	17	23.06
4	18	23.07
4	19	22.93
4	20	22.87
4	21	22.64
4	22	22.91
4	23	17.0
4	24	16.0
5	1	30.0
5	2	32.59
5	3	32.33
5	4	32.01
5	5	31.33
5	6	32.0
5	7	20.0
5	8	20.0
5	9	28.0
5	10	20.0
5	11	10.0
5	12	9.0
5	13	10.0
5	14	18.39
5	15	25.99
5	16	31.7
5	17	29.0
5	18	29.0
5	19	32.64
5	20	32.68
5	21	32.55
5	22	32.5
5	23	32.8
5	24	29.34
6	1	18.3
6	2	18.17
6	3	18.25
6	4	18.35
6	5	19.0
6	6	20.49
6	7	22.25
6	8	22.61
6	9	22.49
6	10	22.38
6	11	20.0
6	12	16.5
6	13	16.93
6	14	19.86
6	15	18.0
6	16	17.0
6	17	21.0
6	18	15.5
6	19	18.5
6	20	21.6
6	21	19.0
6	22	16.0
6	23	13.5
6	24	13.76
7	1	0.983
7	2	3.0
7	3	4.0
7	4	4.0
7	5	7.373
7	6	37.59
7	7	41.06
7	8	41.55
7	9	40.28
7	10	38.91
7	11	39.09
7	12	8.0
7	13	11.5
7	14	23.0
7	15	30.0
7	16	33.5
7	17	45.61
7	18	37.0
7	19	40.5
7	20	41.0
7	21	59.81
7	22	41.5
7	23	34.0
7	24	33.51
8	1	31.0
8	2	30.0
8	3	29.0
8	4	29.0
8	5	29.0
8	6	31.5
8	7	36.82
8	8	37.19
8	9	37.34
8	10	37.5
8	11	37.51
8	12	20.0
8	13	33.5
8	14	37.16
8	15	37.24
8	16	25.0
8	17	20.0
8	18	33.5
8	19	36.88
8	20	34.5
8	21	35.0
8	22	35.0
8	23	35.0
8	24	32.0
9	1	19.0
9	2	18.5
9	3	10.0
9	4	5.5
9	5	8.5
9	6	13.0
9	7	40.0
9	8	30.0
9	9	30.0
9	10	17.0
9	11	11.0
9	12	0.0
9	13	-2.0
9	14	-1.34
9	15	0.0
9	16	10.0
9	17	23.0
9	18	37.5
9	19	40.0
9	20	61.21
9	21	58.82
9	22	57.53
9	23	41.14
9	24	34.93
10	1	67.53
10	2	67.33
10	3	67.27
10	4	67.15
10	5	67.39
10	6	68.54
10	7	170.64
10	8	131.92
10	9	64.5
10	10	59.0
10	11	59.0
10	12	64.0
10	13	66.0
10	14	66.0
10	15	62.188
10	16	62.5
10	17	64.0
10	18	70.63
10	19	69.99
10	20	62.0
10	21	64.0
10	22	62.0
10	23	62.0
10	24	64.0
11	1	4.0
11	2	4.0
11	3	4.0
11	4	10.0
11	5	26.88
11	6	34.37
11	7	36.61
11	8	37.89
11	9	36.01
11	10	18.53
11	11	-4.021
11	12	-4.021
11	13	-4.021
11	14	-4.021
11	15	0.83
11	16	6.68
11	17	5.0
11	18	14.0
11	19	34.37
11	20	36.08
11	21	34.19
11	22	34.38
11	23	32.02
11	24	20.39
12	1	31.0
12	2	30.5
12	3	27.0
12	4	26.0
12	5	27.0
12	6	31.5
12	7	39.5
12	8	39.83
12	9	43.0
12	10	39.0
12	11	34.0
12	12	31.0
12	13	25.0
12	14	27.0
12	15	33.52
12	16	28.0
12	17	25.48
12	18	25.78
12	19	46.22
12	20	45.08
12	21	42.97
12	22	42.26
12	23	40.43
12	24	36.89
13	1	51.37
13	2	51.23
13	3	51.27
13	4	45.0
13	5	51.92
13	6	47.0
13	7	46.0
13	8	49.5
13	9	45.0
13	10	33.0
13	11	28.0
13	12	14.0
13	13	10.897
13	14	14.99
13	15	15.5
13	16	23.0
13	17	39.0
13	18	46.0
13	19	46.0
13	20	44.0
13	21	44.0
13	22	37.0
13	23	32.5
13	24	29.0
14	1	1.41
14	2	1.01
14	3	1.01
14	4	2.06
14	5	3.04
14	6	6.78
14	7	13.49
14	8	18.71
14	9	15.36
14	10	14.9
14	11	14.49
14	12	5.5
14	13	5.5
14	14	9.47
14	15	14.76
14	16	17.93
14	17	14.5
14	18	14.5
14	19	17.0
14	20	20.46
14	21	10.0
14	22	7.0
14	23	7.0
14	24	10.0
15	1	18.3
15	2	18.17
15	3	18.25
15	4	18.35
15	5	19.0
15	6	20.49
15	7	22.25
15	8	22.61
15	9	22.49
15	10	22.38
15	11	20.0
15	12	16.5
15	13	16.93
15	14	19.86
15	15	18.0
15	16	17.0
15	17	21.0
15	18	15.5
15	19	18.5
15	20	21.6
15	21	19.0
15	22	16.0
15	23	13.5
15	24	13.76
16	1	15.24
16	2	14.45
16	3	13.91
16	4	14.61
16	5	15.24
16	6	20.91
16	7	23.0
16	8	49.99
16	9	39.86
16	10	36.63
16	11	13.0
16	12	4.32
16	13	0.0
16	14	0.0
16	15	0.0
16	16	6.0
16	17	26.79
16	18	42.73
16	19	13.0
16	20	13.0
16	21	13.0
16	22	6.0
16	23	8.0
16	24	8.0
17	1	22.98
17	2	22.9
17	3	22.33
17	4	22.24
17	5	22.12
17	6	22.5
17	7	23.77
17	8	23.92
17	9	24.18
17	10	24.0
17	11	24.0
17	12	20.0
17	13	11.73
17	14	19.0
17	15	13.5
17	16	13.5
17	17	10.0
17	18	10.0
17	19	22.34
17	20	22.97
17	21	22.91
17	22	23.11
17	23	23.36
17	24	23.48
18	1	19.0
18	2	18.5
18	3	10.0
18	4	5.5
18	5	8.5
18	6	13.0
18	7	40.0
18	8	30.0
18	9	30.0
18	10	17.0
18	11	11.0
18	12	0.0
18	13	-2.0
18	14	-1.34
18	15	0.0
18	16	10.0
18	17	23.0
18	18	37.5
18	19	40.0
18	20	61.21
18	21	58.82
18	22	57.53
18	23	41.14
18	24	34.93
19	1	29.59
19	2	29.34
19	3	29.42
19	4	29.34
19	5	20.0
19	6	26.67
19	7	49.49
19	8	54.68
19	9	35.38
19	10	31.87
19	11	31.41
19	12	28.23
19	13	29.16
19	14	20.24
19	15	26.5
19	16	26.5
19	17	31.14
19	18	33.83
19	19	33.83
19	20	30.69
19	21	30.2
19	22	30.31
19	23	2.0
19	24	0.0
20	1	59.0
20	2	59.0
20	3	58.0
20	4	55.0
20	5	54.94
20	6	56.0
20	7	74.95
20	8	113.82
20	9	94.04
20	10	79.32
20	11	74.63
20	12	70.57
20	13	70.38
20	14	66.39
20	15	66.11
20	16	67.51
20	17	59.0
20	18	68.53
20	19	68.01
20	20	68.89
20	21	67.69
20	22	67.1
20	23	66.21
20	24	67.76
21	1	31.5
21	2	31.5
21	3	31.5
21	4	31.5
21	5	34.0
21	6	34.0
21	7	108.55
21	8	35.0
21	9	34.0
21	10	32.0
21	11	25.0
21	12	25.0
21	13	24.9
21	14	12.0
21	15	10.0
21	16	4.0
21	17	17.0
21	18	20.5
21	19	29.0
21	20	30.5
21	21	40.01
21	22	39.57
21	23	38.62
21	24	36.87
22	1	-0.03
22	2	-0.06
22	3	-0.07
22	4	-0.05
22	5	0.09
22	6	1.95
22	7	3.68
22	8	-1.0
22	9	6.6
22	10	-2.0
22	11	-3.0
22	12	-4.0
22	13	-6.0
22	14	-6.0
22	15	-4.0
22	16	3.6
22	17	-1.0
22	18	0.0
22	19	0.5
22	20	-1.0
22	21	-2.0
22	22	-3.0
22	23	-6.0
22	24	-6.0
23	1	35.5
23	2	32.0
23	3	30.0
23	4	27.0
23	5	22.79
23	6	31.0
23	7	44.4
23	8	49.21
