Node	Time	ActivationUpPrice
3	1	15.62
3	2	15.19
3	3	15.01
3	4	14.22
3	5	15.23
3	6	23.44
3	7	47.03
3	8	53.94
3	9	61.0
3	10	61.0
3	11	67.0
3	12	65.0
3	13	30.0
3	14	30.0
3	15	30.0
3	16	31.56
3	17	50.63
3	18	49.42
3	19	29.99
3	20	24.99
3	21	25.1
3	22	24.84
3	23	23.91
3	24	17.04
4	1	20.92
4	2	20.43
4	3	19.98
4	4	19.93
4	5	19.96
4	6	22.01
4	7	30.0
4	8	30.0
4	9	29.87
4	10	28.98
4	11	23.6
4	12	23.51
4	13	23.33
4	14	23.12
4	15	22.98
4	16	23.25
4	17	23.06
4	18	23.07
4	19	25.0
4	20	25.0
4	21	22.96
4	22	22.91
4	23	22.44
4	24	19.91
5	1	32.78
5	2	32.59
5	3	32.84
5	4	32.5
5	5	32.4
5	6	32.0
5	7	32.98
5	8	32.94
5	9	34.0
5	10	31.62
5	11	21.29
5	12	15.87
5	13	10.0
5	14	18.39
5	15	26.61
5	16	31.7
5	17	32.65
5	18	32.65
5	19	32.64
5	20	32.68
5	21	32.55
5	22	32.5
5	23	32.8
5	24	29.34
6	1	18.3
6	2	18.17
6	3	18.25
6	4	18.35
6	5	19.0
6	6	25.0
6	7	31.0
6	8	31.0
6	9	22.49
6	10	22.38
6	11	22.24
6	12	20.24
6	13	16.93
6	14	19.86
6	15	20.95
6	16	22.06
6	17	21.98
6	18	21.74
6	19	21.77
6	20	21.77
6	21	21.72
6	22	20.56
6	23	19.68
6	24	20.0
7	1	35.75
7	2	24.46
7	3	12.49
7	4	12.49
7	5	20.6
7	6	50.0
7	7	50.0
7	8	50.0
7	9	45.0
7	10	38.91
7	11	39.09
7	12	38.78
7	13	39.02
7	14	39.68
7	15	41.47
7	16	42.44
7	17	45.61
7	18	47.54
7	19	48.93
7	20	58.6
7	21	59.81
7	22	58.6
7	23	54.52
7	24	45.54
8	1	36.02
8	2	35.71
8	3	35.55
8	4	35.44
8	5	35.25
8	6	36.27
8	7	36.82
8	8	37.19
8	9	37.34
8	10	37.5
8	11	37.51
8	12	37.35
8	13	37.29
8	14	37.16
8	15	37.24
8	16	37.22
8	17	37.0
8	18	37.03
8	19	36.88
8	20	36.79
8	21	36.67
8	22	36.87
8	23	36.38
8	24	35.09
9	1	29.75
9	2	29.2
9	3	28.93
9	4	28.83
9	5	29.16
9	6	30.96
9	7	61.98
9	8	61.04
9	9	53.05
9	10	40.87
9	11	40.38
9	12	34.14
9	13	32.14
9	14	33.28
9	15	35.48
9	16	42.65
9	17	52.9
9	18	71.0
9	19	76.02
9	20	61.21
9	21	58.82
9	22	57.53
9	23	41.14
9	24	34.93
10	1	79.0
10	2	80.0
10	3	80.0
10	4	76.0
10	5	77.35
10	6	80.0
10	7	171.0
10	8	132.0
10	9	96.0
10	10	79.83
10	11	74.77
10	12	75.06
10	13	75.74
10	14	76.18
10	15	73.88
10	16	72.87
10	17	70.08
10	18	70.63
10	19	69.99
10	20	70.63
10	21	69.98
10	22	68.97
10	23	68.76
10	24	71.86
11	1	31.34
11	2	29.64
11	3	29.62
11	4	28.97
11	5	26.88
11	6	34.37
11	7	38.0
11	8	39.0
11	9	37.0
11	10	30.0
11	11	5.65
11	12	0.85
11	13	-0.01
11	14	-0.19
11	15	0.83
11	16	7.0
11	17	18.81
11	18	28.92
11	19	34.37
11	20	36.08
11	21	34.19
11	22	34.38
11	23	32.02
11	24	20.39
12	1	40.52
12	2	40.1
12	3	40.19
12	4	39.93
12	5	41.08
12	6	43.95
12	7	76.08
12	8	102.99
12	9	71.43
12	10	55.13
12	11	48.26
12	12	44.15
12	13	42.62
12	14	42.0
12	15	44.06
12	16	42.99
12	17	43.3
12	18	46.33
12	19	49.0
12	20	50.0
12	21	50.0
12	22	50.0
12	23	43.0
12	24	41.0
13	1	51.37
13	2	51.23
13	3	51.27
13	4	51.23
13	5	51.92
13	6	54.19
13	7	60.03
13	8	74.92
13	9	62.66
13	10	52.54
13	11	47.41
13	12	36.2
13	13	24.1
13	14	14.99
13	15	27.35
13	16	46.03
13	17	52.85
13	18	53.81
13	19	54.3
13	20	54.07
13	21	53.42
13	22	52.52
13	23	50.05
13	24	47.24
14	1	1.41
14	2	1.01
14	3	1.01
14	4	2.06
14	5	3.04
14	6	6.78
14	7	19.0
14	8	21.0
14	9	15.36
14	10	14.9
14	11	14.49
14	12	11.19
14	13	7.21
14	14	13.47
14	15	14.76
14	16	17.93
14	17	20.07
14	18	22.22
14	19	25.0
14	20	25.0
14	21	18.0
14	22	16.43
14	23	13.96
14	24	15.68
15	1	18.3
15	2	18.17
15	3	18.25
15	4	18.35
15	5	19.0
15	6	25.0
15	7	31.0
15	8	31.0
15	9	22.49
15	10	22.38
15	11	22.24
15	12	20.24
15	13	16.93
15	14	19.86
15	15	20.95
15	16	22.06
15	17	21.98
15	18	21.74
15	19	21.77
15	20	21.77
15	21	21.72
15	22	20.56
15	23	19.68
15	24	20.0
16	1	15.24
16	2	14.45
16	3	13.91
16	4	14.61
16	5	15.24
16	6	20.91
16	7	42.98
16	8	49.99
16	9	39.86
16	10	36.63
16	11	18.17
16	12	4.32
16	13	3.24
16	14	3.03
16	15	3.96
16	16	12.78
16	17	26.79
16	18	42.73
16	19	29.89
16	20	28.88
16	21	28.19
16	22	26.84
