Node	Time	CapacityUpPrice
1	1	2.0
1	2	2.0
1	3	2.0
1	4	2.0
1	5	8.0
1	6	38.5
1	7	41.5
1	8	38.5
1	9	28.0
1	10	25.0
1	11	25.0
1	12	25.0
1	13	18.5
1	14	14.5
1	15	8.5
1	16	7.5
1	17	14.0
1	18	32.5
1	19	48.0
1	20	45.5
1	21	65.5
1	22	63.5
1	23	17.5
1	24	3.0
2	1	2.0
2	2	2.0
2	3	2.0
2	4	2.0
2	5	2.0
2	6	2.0
2	7	3.5
2	8	11.87
2	9	12.0
2	10	11.04
2	11	8.11
2	12	8.0
2	13	6.8
2	14	6.1
2	15	6.1
2	16	6.8
2	17	6.1
2	18	6.5
2	19	6.8
2	20	6.0
2	21	4.0
2	22	2.5
2	23	2.0
2	24	2.0
3	1	28.49
3	2	32.91
3	3	32.91
3	4	32.91
3	5	4.2
3	6	18.9
3	7	44.1
3	8	50.4
3	9	48.3
3	10	42.0
3	11	31.5
3	12	31.5
3	13	29.4
3	14	23.1
3	15	10.5
3	16	10.5
3	17	14.7
3	18	23.25
3	19	43.0
3	20	22.32
3	21	22.32
3	22	18.0
3	23	6.3
3	24	2.0
4	1	2.0
4	2	2.0
4	3	2.0
4	4	2.0
4	5	2.0
4	6	24.02
4	7	44.0
4	8	43.0
4	9	8.0
4	10	8.0
4	11	8.0
4	12	8.5
4	13	4.5
4	14	4.5
4	15	3.0
4	16	3.0
4	17	4.5
4	18	6.5
4	19	54.5
4	20	60.5
4	21	58.5
4	22	34.5
4	23	3.0
4	24	2.0
5	1	2.0
5	2	2.0
5	3	2.0
5	4	2.0
5	5	4.5
5	6	11.0
5	7	19.0
5	8	23.0
5	9	19.0
5	10	14.5
5	11	13.0
5	12	11.0
5	13	6.0
5	14	5.5
5	15	4.0
5	16	6.0
5	17	8.0
5	18	13.0
5	19	14.5
5	20	14.0
5	21	14.0
5	22	11.5
5	23	7.5
5	24	3.0
6	1	1.3
6	2	1.3
6	3	1.3
6	4	0.9
6	5	2.0
6	6	14.4
6	7	17.1
6	8	18.9
6	9	18.0
6	10	17.1
6	11	16.2
6	12	12.6
6	13	10.8
6	14	9.9
6	15	2.0
6	16	3.0
6	17	6.3
6	18	10.74
6	19	16.2
6	20	15.3
6	21	10.8
6	22	9.9
6	23	6.0
6	24	2.7
7	1	2.0
7	2	2.0
7	3	2.0
7	4	2.0
7	5	5.0
7	6	13.3
7	7	36.4
7	8	41.3
7	9	36.4
7	10	29.4
7	11	19.6
7	12	15.4
7	13	10.5
7	14	8.0
7	15	9.8
7	16	10.0
7	17	9.0
7	18	9.0
7	19	9.1
7	20	8.4
7	21	7.0
7	22	9.0
7	23	8.0
7	24	3.0
8	1	5.0
8	2	5.0
8	3	5.0
8	4	5.0
8	5	5.0
8	6	22.83
8	7	75.0
8	8	81.0
8	9	77.0
8	10	65.0
8	11	60.0
8	12	55.0
8	13	54.0
8	14	59.0
8	15	63.0
8	16	74.0
8	17	89.0
8	18	92.0
8	19	79.0
8	20	33.0
8	21	19.0
8	22	8.0
8	23	6.0
8	24	7.0
9	1	3.0
9	2	3.0
9	3	3.0
9	4	3.0
9	5	3.0
9	6	5.0
9	7	5.0
9	8	5.0
9	9	6.0
9	10	6.0
9	11	5.5
9	12	4.5
9	13	4.0
9	14	6.0
9	15	7.0
9	16	7.0
9	17	7.5
9	18	7.0
9	19	6.0
9	20	5.0
9	21	5.0
9	22	5.0
9	23	4.0
9	24	3.0
10	1	2.0
10	2	2.5
10	3	2.0
10	4	2.0
10	5	2.5
10	6	5.0
10	7	17.44
10	8	44.5
10	9	39.5
10	10	21.5
10	11	12.0
10	12	9.0
10	13	8.0
10	14	8.0
10	15	8.0
10	16	12.0
10	17	22.5
10	18	52.5
10	19	73.0
10	20	74.0
10	21	36.5
10	22	16.0
10	23	11.0
10	24	6.0
11	1	2.0
11	2	2.0
11	3	2.0
11	4	2.0
11	5	5.0
11	6	13.5
11	7	25.0
11	8	25.0
11	9	15.0
11	10	8.5
11	11	7.0
11	12	5.5
11	13	5.0
11	14	4.0
11	15	4.0
11	16	5.0
11	17	6.5
11	18	13.0
11	19	18.0
11	20	20.0
11	21	20.0
11	22	18.0
11	23	7.5
11	24	3.0
12	1	2.0
12	2	2.0
12	3	2.0
12	4	2.0
12	5	5.0
12	6	31.0
12	7	65.0
12	8	56.0
12	9	43.0
12	10	37.0
12	11	15.0
12	12	8.0
12	13	6.0
12	14	5.0
12	15	6.0
12	16	10.0
12	17	12.0
12	18	47.0
12	19	62.0
12	20	62.0
12	21	62.0
12	22	47.0
12	23	7.0
12	24	6.0
13	1	2.0
13	2	2.0
13	3	2.0
13	4	2.0
13	5	3.0
13	6	14.4
13	7	18.9
13	8	18.0
13	9	18.0
13	10	12.6
13	11	7.2
13	12	6.3
13	13	5.4
13	14	4.5
13	15	4.0
13	16	6.3
13	17	5.4
13	18	7.2
13	19	18.0
13	20	19.8
13	21	19.0
13	22	18.0
13	23	4.5
13	24	4.5
14	1	2.0
14	2	2.0
14	3	2.0
14	4	2.0
14	5	3.0
14	6	12.5
14	7	49.0
14	8	49.0
14	9	49.0
14	10	12.0
14	11	8.5
14	12	6.5
14	13	4.5
14	14	4.0
14	15	4.0
14	16	6.0
14	17	8.5
14	18	14.0
14	19	49.0
14	20	43.0
14	21	49.0
14	22	49.0
14	23	3.0
14	24	6.0
15	1	3.0
15	2	3.0
15	3	3.0
15	4	3.0
15	5	6.0
15	6	65.0
15	7	150.0
15	8	150.0
15	9	150.0
15	10	40.0
15	11	28.0
15	12	22.0
15	13	13.0
15	14	10.0
15	15	8.0
15	16	8.0
15	17	22.0
15	18	150.0
15	19	150.0
15	20	150.0
15	21	150.0
15	22	150.0
15	23	18.0
15	24	2.0
16	1	2.0
16	2	2.0
16	3	2.0
16	4	2.0
16	5	5.0
16	6	9.87
16	7	19.0
16	8	18.0
16	9	14.0
16	10	11.0
16	11	8.0
16	12	8.0
16	13	4.9
16	14	4.0
16	15	4.0
16	16	5.0
16	17	9.0
16	18	8.0
16	19	14.0
16	20	13.0
16	21	12.0
16	22	11.0
