Technology	EnergyCarrier	Operational_mode
ElectricBoiler	Electricity	1
ElectricBoiler	Electricity	2
ElectricBoiler	Electricity	3
HP_LT	Electricity	1
HP_LT	Electricity	2
HP_MT	Electricity	1
HP_MT	Electricity	2
HP_MT	Electricity	3
P2G	Electricity	1
G2P	H2	1
GasBoiler	CH4_H2_Mix	1
GasBoiler	CH4_H2_Mix	2
GasBoiler	CH4	3
GasBoiler	CH4	4
GasBoiler	Biogas	5
GasBoiler	Biogas	6
GasBoiler_CCS	CH4_H2_Mix	1
GasBoiler_CCS	CH4_H2_Mix	2
GasBoiler_CCS	CH4	3
GasBoiler_CCS	CH4	4
GasBoiler_CCS	Biogas	5
GasBoiler_CCS	Biogas	6
CHP	CH4_H2_Mix	1
CHP	CH4_H2_Mix	2
CHP	CH4	3
CHP	CH4	4
CHP	Biogas	5
CHP	Biogas	6
CHP_CCS	CH4_H2_Mix	1
CHP_CCS	CH4_H2_Mix	2
CHP_CCS	CH4	3
CHP_CCS	CH4	4
CHP_CCS	Biogas	5
CHP_CCS	Biogas	6
CH4_H2_Mixer	H2	1
CH4_H2_Mixer	CH4	1
Power_Grid	Electricity	2
Power_Grid	Electricity	4
Biogas_Grid	Biogas	2
CH4_Grid	CH4	2
H2_Grid	H2	2
Dummy_Grid	DummyFuel	1
